reference	n	word	normalized	lemma	strongs	morphology	tvm_code
Matthew 1:5	1	Σαλμὼν	Σαλμών	Σαλμών	G4533	N-PRI	
Matthew 1:5	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:5	3	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:5	4	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:5	5	Βόες	Βόες	Βόες	G1003	N-PRI	
Matthew 1:5	6	ἐκ	ἐκ	ἐκ	G1537	PREP	
Matthew 1:5	7	τῆς	τῆς	ὁ	G3588	T-GSF	
Matthew 1:5	8	Ῥαχάβ,	Ῥαχάβ	Ῥαχάβ	G4477	N-PRI	
Matthew 1:5	9	Βόες	Βόες	Βόες	G1003	N-PRI	
Matthew 1:5	10	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:5	11	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:5	12	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:5	13	Ἰωβὴδ	Ἰωβήδ	Ἰωβήδ	G5601	N-PRI	
Matthew 1:5	14	ἐκ	ἐκ	ἐκ	G1537	PREP	
Matthew 1:5	15	τῆς	τῆς	ὁ	G3588	T-GSF	
Matthew 1:5	16	Ῥούθ,	Ῥούθ	Ῥούθ	G4503	N-PRI	
Matthew 1:5	17	Ἰωβὴδ	Ἰωβήδ	Ἰωβήδ	G5601	N-PRI	
Matthew 1:5	18	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:5	19	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:5	20	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:5	21	Ἰεσσαί,	Ἰεσσαί	Ἰεσσαί	G2421	N-PRI	
Matthew 1:6	1	Ἰεσσαὶ	Ἰεσσαί	Ἰεσσαί	G2421	N-PRI	
Matthew 1:6	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:6	3	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:6	4	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:6	5	Δαυεὶδ	Δαυείδ	Δαυίδ	G1138	N-PRI	
Matthew 1:6	6	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:6	7	βασιλέα.	βασιλέα	βασιλεύς	G0935	N-ASM	
Matthew 1:6	8	Δαυεὶδ	Δαυείδ	Δαυίδ	G1138	N-PRI	
Matthew 1:6	9	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:6	10	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:6	11	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:6	12	Σολομῶνα	Σολομῶνα	Σολομών	G4672	N-ASM	
Matthew 1:6	13	ἐκ	ἐκ	ἐκ	G1537	PREP	
Matthew 1:6	14	τῆς	τῆς	ὁ	G3588	T-GSF	
Matthew 1:6	15	τοῦ	τοῦ	ὁ	G3588	T-GSM	
Matthew 1:6	16	Οὐρίου,	Οὐρίου	Οὐρίας	G3774	N-GSM	
Matthew 1:7	1	Σολομὼν	Σολομών	Σολομών	G4672	N-NSM	
Matthew 1:7	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:7	3	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:7	4	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:7	5	Ῥοβοάμ,	Ῥοβοάμ	Ῥοβοάμ	G4497	N-PRI	
