reference	byzantine_reading	receptus_reading
Philippians 4:2	ευωδιαν	ευοδιαν
Philippians 4:12	δε	και
Philippians 4:23	φιλιππησιους εγραφη απο ρωμης δι επαφροδιτου]	
Colossians 1:2	κολασσαις	κολοσσαις
Colossians 1:24		ος
Colossians 2:13	συνεζωποιησεν	συνεζωοποιησεν
Colossians 2:13	ημιν	υμιν
Colossians 4:10		
Colossians 4:18	κολασσαεις εγραφη απο ρωμης δια τυχικου και ονησιμου]	
1 Thessalonians 1:9	εχομεν	εσχομεν
1 Thessalonians 2:15	υμας	ημας
1 Thessalonians 3:10	υπερ εκπερισσου	υπερ εκ περισσου
1 Thessalonians 5:13	υπερ εκπερισσου	υπερ εκ περισσου
1 Thessalonians 5:28	θεσσαλονικεις πρωτη εγραφη απο αθηνων]	
2 Thessalonians 2:4	παντα λεγομενον	παν το λεγομενον
2 Thessalonians 3:5	υπομονην	την υπομονην
2 Thessalonians 3:18	θεσσαλονικεις δευτερα εγραφη απο αθηνων]	
1 Timothy 1:2	χριστου ιησου	ιησου χριστου
1 Timothy 1:4	οικονομιαν	οικοδομιαν
1 Timothy 3:2	νηφαλεον	νηφαλιον
1 Timothy 3:11	νηφαλεους	νηφαλιους
1 Timothy 6:21	τιμοθεον πρωτη εγραφη απο λαοδικειας ητις εστιν μητροπολις φρυγιας της πακατιανης]	
2 Timothy 1:5	ευνεικη	ευνικη
2 Timothy 4:13	φαιλονην	φελονην
2 Timothy 4:22	τιμοθεον δευτερα της εφεσιων εκκλησιας πρωτον επισκοπον χειροτονηθεντα εγραφη απο ρωμης οτε εκ δευτερου παρεστη παυλος τω καισαρι νερωνι]	
Titus 2:10	υμων	ημων
Titus 3:15	τιτον της κρητων εκκλησιας πρωτον επισκοπον χειροτονηθεντα εγραφη απο νικοπολεως της μακεδονιας]	
Philemon 1:7	χαριν	χαραν
Philemon 1:25	φιλημονα εγραφη απο ρωμης δια ονησιμου οικετου]	
Hebrews 4:15	πεπειραμενον	πεπειρασμενον
Hebrews 6:10	ενεδειξασθε	ενδειξασθε
Hebrews 9:1	σκηνη	
Hebrews 9:6	διαπαντος	δια παντος
Hebrews 10:10	οι	
Hebrews 11:4	λαλειται	λαλει
Hebrews 12:24	τον	το
Hebrews 13:15	διαπαντος	δια παντος
Hebrews 13:25	εβραιους εγραφη απο της ιταλιας δια τιμοθεου]	
James 2:18	εκ	χωρις
James 4:13	και	η
James 4:13	πορευσωμεθα	πορευσομεθα
James 4:13	ποιησωμεν	ποιησομεν
James 4:13	εμπορευσωμεθα και κερδησωμεν	εμπορευσομεθα και κερδησομεν
James 4:15	ζησωμεν και ποιησωμεν	ζησομεν και ποιησομεν
James 5:9		ο
James 5:12	εις υποκρισιν	υπο κρισιν
1 Peter 1:4	ημας	υμας
1 Peter 1:8	ειδοτες	ιδοντες
1 Peter 3:21	ο	ω
1 Peter 4:8		η
2 Peter 1:1	συμεων	σιμων
2 Peter 1:1		ημων
2 Peter 1:21	οι	
2 Peter 2:9	πειρασμου	πειρασμων
2 Peter 2:18		εν
2 Peter 3:7	αυτου	τω αυτω
1 John 1:4	ημων	υμων
1 John 1:5	επαγγελια	αγγελια
1 John 2:23		ο ομολογων τον υιον και τον πατερα εχει
1 John 3:16		του θεου
2 John 1:3	ημων	υμων
2 John 1:5	γραφω	γραφων
3 John 1:7		αυτου
Jude 1:12		υμιν
Jude 1:19		εαυτους
Jude 1:24	αυτους	υμας
Revelation 1:11		επτα
Revelation 2:5	ταχει	ταχυ
Revelation 2:14	εν τω	τον
Revelation 3:1		επτα
Revelation 3:12	η καταβαινουσα	η καταβαινει
Revelation 4:3	ομοιος	ομοια
Revelation 5:11		ην ο αριθμος αυτων μυριαδες μυριαδων και
Revelation 7:2	αναβαντα	αναβαινοντα
Revelation 7:3	σφραγιζωμεν	σφραγισωμεν
Revelation 7:10		θεω ημων τω
Revelation 7:10	του θεου ημων	
Revelation 7:14	στολας αυτων	αυτας
Revelation 8:6		οι
Revelation 8:11		των υδατων
Revelation 9:11	εφ αυτων	επ αυτων
Revelation 9:19	αι γαρ εξουσιαι	η γαρ εξουσια
Revelation 9:19	εισιν	εστιν και εν ταις ουραις αυτων
Revelation 9:20	ουτε	ου
Revelation 11:1		και ο αγγελος ειστηκει
Revelation 11:2	εσωθεν	εξωθεν
Revelation 11:4		αι
Revelation 11:14		και
Revelation 13:3	εθαυμασθη εν ολη τη γη	εθαυμασεν ολη η γη
Revelation 14:7		την
