reference	n	word	normalized	lemma	part_of_speech	parse
Matthew 1:1	1	Βίβλος	βίβλος	βίβλος	N-	----NSF-
Matthew 1:1	2	γενέσεως	γενέσεως	γένεσις	N-	----GSF-
Matthew 1:1	3	Ἰησοῦ	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Matthew 1:1	4	χριστοῦ	Χριστοῦ	Χριστός	N-	----GSM-
Matthew 1:1	5	υἱοῦ	υἱοῦ	υἱός	N-	----GSM-
Matthew 1:1	6	Δαυὶδ	Δαυίδ	Δαυίδ	N-	----GSM-
Matthew 1:1	7	υἱοῦ	υἱοῦ	υἱός	N-	----GSM-
Matthew 1:1	8	Ἀβραάμ	Ἀβραάμ	Ἀβραάμ	N-	----GSM-
Matthew 1:2	1	Ἀβραὰμ	Ἀβραάμ	Ἀβραάμ	N-	----NSM-
Matthew 1:2	2	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:2	3	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:2	4	Ἰσαάκ	Ἰσαάκ	Ἰσαάκ	N-	----ASM-
Matthew 1:2	5	Ἰσαὰκ	Ἰσαάκ	Ἰσαάκ	N-	----NSM-
Matthew 1:2	6	δὲ	δέ	δέ	C-	--------
Matthew 1:2	7	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:2	8	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:2	9	Ἰακώβ	Ἰακώβ	Ἰακώβ	N-	----ASM-
Matthew 1:2	10	Ἰακὼβ	Ἰακώβ	Ἰακώβ	N-	----NSM-
Matthew 1:2	11	δὲ	δέ	δέ	C-	--------
Matthew 1:2	12	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:2	13	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:2	14	Ἰούδαν	Ἰούδαν	Ἰούδας	N-	----ASM-
Matthew 1:2	15	καὶ	καί	καί	C-	--------
Matthew 1:2	16	τοὺς	τούς	ὁ	RA	----APM-
Matthew 1:2	17	ἀδελφοὺς	ἀδελφούς	ἀδελφός	N-	----APM-
Matthew 1:2	18	αὐτοῦ	αὐτοῦ	αὐτός	RP	----GSM-
Matthew 1:3	1	Ἰούδας	Ἰούδας	Ἰούδας	N-	----NSM-
Matthew 1:3	2	δὲ	δέ	δέ	C-	--------
Matthew 1:3	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:3	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:3	5	Φαρὲς	Φαρές	Φαρές	N-	----ASM-
Matthew 1:3	6	καὶ	καί	καί	C-	--------
Matthew 1:3	7	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:3	8	Ζάρα	Ζάρα	Ζάρα	N-	----ASM-
Matthew 1:3	9	ἐκ	ἐκ	ἐκ	P-	--------
Matthew 1:3	10	τῆς	τῆς	ὁ	RA	----GSF-
Matthew 1:3	11	Θαμάρ	Θαμάρ	Θαμάρ	N-	----GSF-
Matthew 1:3	12	Φαρὲς	Φαρές	Φαρές	N-	----NSM-
Matthew 1:3	13	δὲ	δέ	δέ	C-	--------
Matthew 1:3	14	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:3	15	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:3	16	Ἑσρώμ	Ἑσρώμ	Ἑσρώμ	N-	----ASM-
Matthew 1:3	17	Ἑσρὼμ	Ἑσρώμ	Ἑσρώμ	N-	----NSM-
Matthew 1:3	18	δὲ	δέ	δέ	C-	--------
Matthew 1:3	19	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:3	20	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:3	21	Ἀράμ	Ἀράμ	Ἀράμ	N-	----ASM-
Matthew 1:4	1	Ἀρὰμ	Ἀράμ	Ἀράμ	N-	----NSM-
Matthew 1:4	2	δὲ	δέ	δέ	C-	--------
Matthew 1:4	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:4	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:4	5	Ἀμιναδάβ	Ἀμιναδάβ	Ἀμιναδάβ	N-	----ASM-
Matthew 1:4	6	Ἀμιναδὰβ	Ἀμιναδάβ	Ἀμιναδάβ	N-	----NSM-
Matthew 1:4	7	δὲ	δέ	δέ	C-	--------
Matthew 1:4	8	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:4	9	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:4	10	Ναασσών	Ναασσών	Ναασσών	N-	----ASM-
Matthew 1:4	11	Ναασσὼν	Ναασσών	Ναασσών	N-	----NSM-
Matthew 1:4	12	δὲ	δέ	δέ	C-	--------
Matthew 1:4	13	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:4	14	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:4	15	Σαλμών	Σαλμών	Σαλμών	N-	----ASM-
Matthew 1:5	1	Σαλμὼν	Σαλμών	Σαλμών	N-	----NSM-
Matthew 1:5	2	δὲ	δέ	δέ	C-	--------
Matthew 1:5	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:5	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:5	5	Βόες	Βόες	Βόες	N-	----ASM-
Matthew 1:5	6	ἐκ	ἐκ	ἐκ	P-	--------
Matthew 1:5	7	τῆς	τῆς	ὁ	RA	----GSF-
Matthew 1:5	8	Ῥαχάβ	Ῥαχάβ	Ῥαχάβ	N-	----GSF-
Matthew 1:5	9	Βόες	Βόες	Βόες	N-	----NSM-
Matthew 1:5	10	δὲ	δέ	δέ	C-	--------
Matthew 1:5	11	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:5	12	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:5	13	Ἰωβὴδ	Ἰωβήδ	Ἰωβήδ	N-	----ASM-
Matthew 1:5	14	ἐκ	ἐκ	ἐκ	P-	--------
Matthew 1:5	15	τῆς	τῆς	ὁ	RA	----GSF-
Matthew 1:5	16	Ῥούθ	Ῥούθ	Ῥούθ	N-	----GSF-
Matthew 1:5	17	Ἰωβὴδ	Ἰωβήδ	Ἰωβήδ	N-	----NSM-
Matthew 1:5	18	δὲ	δέ	δέ	C-	--------
Matthew 1:5	19	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:5	20	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:5	21	Ἰεσσαί	Ἰεσσαί	Ἰεσσαί	N-	----ASM-
Matthew 1:6	1	Ἰεσσαὶ	Ἰεσσαί	Ἰεσσαί	N-	----NSM-
Matthew 1:6	2	δὲ	δέ	δέ	C-	--------
Matthew 1:6	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:6	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:6	5	Δαυὶδ	Δαυίδ	Δαυίδ	N-	----ASM-
Matthew 1:6	6	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:6	7	βασιλέα	βασιλέα	βασιλεύς	N-	----ASM-
Matthew 1:6	8	Δαυὶδ	Δαυίδ	Δαυίδ	N-	----NSM-
Matthew 1:6	9	δὲ	δέ	δέ	C-	--------
Matthew 1:6	10	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:6	11	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:6	12	Σολομῶνα	Σολομῶνα	Σολομών	N-	----ASM-
Matthew 1:6	13	ἐκ	ἐκ	ἐκ	P-	--------
Matthew 1:6	14	τῆς	τῆς	ὁ	RA	----GSF-
Matthew 1:6	15	τοῦ	τοῦ	ὁ	RA	----GSM-
Matthew 1:6	16	Οὐρίου	Οὐρίου	Οὐρίας	N-	----GSM-
Matthew 1:7	1	Σολομὼν	Σολομών	Σολομών	N-	----NSM-
Matthew 1:7	2	δὲ	δέ	δέ	C-	--------
Matthew 1:7	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:7	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:7	5	Ῥοβοάμ	Ῥοβοάμ	Ῥοβοάμ	N-	----ASM-
Matthew 1:7	6	Ῥοβοὰμ	Ῥοβοάμ	Ῥοβοάμ	N-	----NSM-
Matthew 1:7	7	δὲ	δέ	δέ	C-	--------
Matthew 1:7	8	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:7	9	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:7	10	Ἀβιά	Ἀβιά	Ἀβιά	N-	----ASM-
Matthew 1:7	11	Ἀβιὰ	Ἀβιά	Ἀβιά	N-	----NSM-
Matthew 1:7	12	δὲ	δέ	δέ	C-	--------
Matthew 1:7	13	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:7	14	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:7	15	Ἀσάφ	Ἀσάφ	Ἀσάφ	N-	----ASM-
Matthew 1:8	1	Ἀσὰφ	Ἀσάφ	Ἀσάφ	N-	----NSM-
Matthew 1:8	2	δὲ	δέ	δέ	C-	--------
Matthew 1:8	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:8	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:8	5	Ἰωσαφάτ	Ἰωσαφάτ	Ἰωσαφάτ	N-	----ASM-
Matthew 1:8	6	Ἰωσαφὰτ	Ἰωσαφάτ	Ἰωσαφάτ	N-	----NSM-
Matthew 1:8	7	δὲ	δέ	δέ	C-	--------
Matthew 1:8	8	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:8	9	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:8	10	Ἰωράμ	Ἰωράμ	Ἰωράμ	N-	----ASM-
Matthew 1:8	11	Ἰωρὰμ	Ἰωράμ	Ἰωράμ	N-	----NSM-
Matthew 1:8	12	δὲ	δέ	δέ	C-	--------
Matthew 1:8	13	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:8	14	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:8	15	Ὀζίαν	Ὀζίαν	Ὀζίας	N-	----ASM-
Matthew 1:9	1	Ὀζίας	Ὀζίας	Ὀζίας	N-	----NSM-
Matthew 1:9	2	δὲ	δέ	δέ	C-	--------
Matthew 1:9	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:9	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:9	5	Ἰωαθάμ	Ἰωαθάμ	Ἰωαθάμ	N-	----ASM-
Matthew 1:9	6	Ἰωαθὰμ	Ἰωαθάμ	Ἰωαθάμ	N-	----NSM-
Matthew 1:9	7	δὲ	δέ	δέ	C-	--------
Matthew 1:9	8	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:9	9	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:9	10	Ἀχάζ	Ἀχάζ	Ἀχάζ	N-	----ASM-
Matthew 1:9	11	Ἀχὰζ	Ἀχάζ	Ἀχάζ	N-	----NSM-
Matthew 1:9	12	δὲ	δέ	δέ	C-	--------
Matthew 1:9	13	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:9	14	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:9	15	Ἑζεκίαν	Ἑζεκίαν	Ἑζεκίας	N-	----ASM-
Matthew 1:10	1	Ἑζεκίας	Ἑζεκίας	Ἑζεκίας	N-	----NSM-
Matthew 1:10	2	δὲ	δέ	δέ	C-	--------
Matthew 1:10	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:10	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:10	5	Μανασσῆ	Μανασσῆ	Μανασσῆς	N-	----ASM-
Matthew 1:10	6	Μανασσῆς	Μανασσῆς	Μανασσῆς	N-	----NSM-
Matthew 1:10	7	δὲ	δέ	δέ	C-	--------
Matthew 1:10	8	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:10	9	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:10	10	Ἀμώς	Ἀμώς	Ἀμώς	N-	----ASM-
Matthew 1:10	11	Ἀμὼς	Ἀμώς	Ἀμώς	N-	----NSM-
Matthew 1:10	12	δὲ	δέ	δέ	C-	--------
Matthew 1:10	13	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:10	14	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:10	15	Ἰωσίαν	Ἰωσίαν	Ἰωσίας	N-	----ASM-
Matthew 1:11	1	Ἰωσίας	Ἰωσίας	Ἰωσίας	N-	----NSM-
Matthew 1:11	2	δὲ	δέ	δέ	C-	--------
Matthew 1:11	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:11	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:11	5	Ἰεχονίαν	Ἰεχονίαν	Ἰεχονίας	N-	----ASM-
Matthew 1:11	6	καὶ	καί	καί	C-	--------
Matthew 1:11	7	τοὺς	τούς	ὁ	RA	----APM-
Matthew 1:11	8	ἀδελφοὺς	ἀδελφούς	ἀδελφός	N-	----APM-
Matthew 1:11	9	αὐτοῦ	αὐτοῦ	αὐτός	RP	----GSM-
Matthew 1:11	10	ἐπὶ	ἐπί	ἐπί	P-	--------
Matthew 1:11	11	τῆς	τῆς	ὁ	RA	----GSF-
Matthew 1:11	12	μετοικεσίας	μετοικεσίας	μετοικεσία	N-	----GSF-
Matthew 1:11	13	Βαβυλῶνος	Βαβυλῶνος	Βαβυλών	N-	----GSF-
Matthew 1:12	1	Μετὰ	μετά	μετά	P-	--------
Matthew 1:12	2	δὲ	δέ	δέ	C-	--------
Matthew 1:12	3	τὴν	τήν	ὁ	RA	----ASF-
Matthew 1:12	4	μετοικεσίαν	μετοικεσίαν	μετοικεσία	N-	----ASF-
Matthew 1:12	5	Βαβυλῶνος	Βαβυλῶνος	Βαβυλών	N-	----GSF-
Matthew 1:12	6	Ἰεχονίας	Ἰεχονίας	Ἰεχονίας	N-	----NSM-
Matthew 1:12	7	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:12	8	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:12	9	Σαλαθιήλ	Σαλαθιήλ	Σαλαθιήλ	N-	----ASM-
Matthew 1:12	10	Σαλαθιὴλ	Σαλαθιήλ	Σαλαθιήλ	N-	----NSM-
Matthew 1:12	11	δὲ	δέ	δέ	C-	--------
Matthew 1:12	12	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:12	13	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:12	14	Ζοροβαβέλ	Ζοροβαβέλ	Ζοροβαβέλ	N-	----ASM-
Matthew 1:13	1	Ζοροβαβὲλ	Ζοροβαβέλ	Ζοροβαβέλ	N-	----NSM-
Matthew 1:13	2	δὲ	δέ	δέ	C-	--------
Matthew 1:13	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:13	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:13	5	Ἀβιούδ	Ἀβιούδ	Ἀβιούδ	N-	----ASM-
Matthew 1:13	6	Ἀβιοὺδ	Ἀβιούδ	Ἀβιούδ	N-	----NSM-
Matthew 1:13	7	δὲ	δέ	δέ	C-	--------
Matthew 1:13	8	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:13	9	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:13	10	Ἐλιακίμ	Ἐλιακίμ	Ἐλιακίμ	N-	----ASM-
Matthew 1:13	11	Ἐλιακὶμ	Ἐλιακίμ	Ἐλιακίμ	N-	----NSM-
Matthew 1:13	12	δὲ	δέ	δέ	C-	--------
Matthew 1:13	13	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:13	14	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:13	15	Ἀζώρ	Ἀζώρ	Ἀζώρ	N-	----ASM-
Matthew 1:14	1	Ἀζὼρ	Ἀζώρ	Ἀζώρ	N-	----NSM-
Matthew 1:14	2	δὲ	δέ	δέ	C-	--------
Matthew 1:14	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:14	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:14	5	Σαδώκ	Σαδώκ	Σαδώκ	N-	----ASM-
Matthew 1:14	6	Σαδὼκ	Σαδώκ	Σαδώκ	N-	----NSM-
Matthew 1:14	7	δὲ	δέ	δέ	C-	--------
Matthew 1:14	8	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:14	9	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:14	10	Ἀχίμ	Ἀχίμ	Ἀχίμ	N-	----ASM-
Matthew 1:14	11	Ἀχὶμ	Ἀχίμ	Ἀχίμ	N-	----NSM-
Matthew 1:14	12	δὲ	δέ	δέ	C-	--------
Matthew 1:14	13	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:14	14	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:14	15	Ἐλιούδ	Ἐλιούδ	Ἐλιούδ	N-	----ASM-
Matthew 1:15	1	Ἐλιοὺδ	Ἐλιούδ	Ἐλιούδ	N-	----NSM-
Matthew 1:15	2	δὲ	δέ	δέ	C-	--------
Matthew 1:15	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:15	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:15	5	Ἐλεάζαρ	Ἐλεάζαρ	Ἐλεάζαρ	N-	----ASM-
Matthew 1:15	6	Ἐλεάζαρ	Ἐλεάζαρ	Ἐλεάζαρ	N-	----NSM-
Matthew 1:15	7	δὲ	δέ	δέ	C-	--------
Matthew 1:15	8	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:15	9	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:15	10	Ματθάν	Ματθάν	Ματθάν	N-	----ASM-
Matthew 1:15	11	Ματθὰν	Ματθάν	Ματθάν	N-	----NSM-
Matthew 1:15	12	δὲ	δέ	δέ	C-	--------
Matthew 1:15	13	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:15	14	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:15	15	Ἰακώβ	Ἰακώβ	Ἰακώβ	N-	----ASM-
Matthew 1:16	1	Ἰακὼβ	Ἰακώβ	Ἰακώβ	N-	----NSM-
Matthew 1:16	2	δὲ	δέ	δέ	C-	--------
Matthew 1:16	3	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:16	4	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:16	5	Ἰωσὴφ	Ἰωσήφ	Ἰωσήφ	N-	----ASM-
Matthew 1:16	6	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:16	7	ἄνδρα	ἄνδρα	ἀνήρ	N-	----ASM-
Matthew 1:16	8	Μαρίας	Μαρίας	Μαρία	N-	----GSF-
Matthew 1:16	9	ἐξ	ἐκ	ἐκ	P-	--------
Matthew 1:16	10	ἧς	ἧς	ὅς	RR	----GSF-
Matthew 1:16	11	ἐγεννήθη	ἐγεννήθη	γεννάω	V-	3API-S--
Matthew 1:16	12	Ἰησοῦς	Ἰησοῦς	Ἰησοῦς	N-	----NSM-
Matthew 1:16	13	ὁ	ὁ	ὁ	RA	----NSM-
Matthew 1:16	14	λεγόμενος	λεγόμενος	λέγω	V-	-PPPNSM-
Matthew 1:16	15	χριστός	Χριστός	Χριστός	N-	----NSM-
Matthew 1:17	1	Πᾶσαι	πᾶσαι	πᾶς	A-	----NPF-
Matthew 1:17	2	οὖν	οὖν	οὖν	C-	--------
Matthew 1:17	3	αἱ	αἱ	ὁ	RA	----NPF-
Matthew 1:17	4	γενεαὶ	γενεαί	γενεά	N-	----NPF-
Matthew 1:17	5	ἀπὸ	ἀπό	ἀπό	P-	--------
Matthew 1:17	6	Ἀβραὰμ	Ἀβραάμ	Ἀβραάμ	N-	----GSM-
Matthew 1:17	7	ἕως	ἕως	ἕως	P-	--------
Matthew 1:17	8	Δαυὶδ	Δαυίδ	Δαυίδ	N-	----GSM-
Matthew 1:17	9	γενεαὶ	γενεαί	γενεά	N-	----NPF-
Matthew 1:17	10	δεκατέσσαρες	δεκατέσσαρες	δεκατέσσαρες	A-	----NPF-
Matthew 1:17	11	καὶ	καί	καί	C-	--------
Matthew 1:17	12	ἀπὸ	ἀπό	ἀπό	P-	--------
Matthew 1:17	13	Δαυὶδ	Δαυίδ	Δαυίδ	N-	----GSM-
Matthew 1:17	14	ἕως	ἕως	ἕως	P-	--------
Matthew 1:17	15	τῆς	τῆς	ὁ	RA	----GSF-
Matthew 1:17	16	μετοικεσίας	μετοικεσίας	μετοικεσία	N-	----GSF-
Matthew 1:17	17	Βαβυλῶνος	Βαβυλῶνος	Βαβυλών	N-	----GSF-
Matthew 1:17	18	γενεαὶ	γενεαί	γενεά	N-	----NPF-
Matthew 1:17	19	δεκατέσσαρες	δεκατέσσαρες	δεκατέσσαρες	A-	----NPF-
Matthew 1:17	20	καὶ	καί	καί	C-	--------
Matthew 1:17	21	ἀπὸ	ἀπό	ἀπό	P-	--------
Matthew 1:17	22	τῆς	τῆς	ὁ	RA	----GSF-
Matthew 1:17	23	μετοικεσίας	μετοικεσίας	μετοικεσία	N-	----GSF-
Matthew 1:17	24	Βαβυλῶνος	Βαβυλῶνος	Βαβυλών	N-	----GSF-
Matthew 1:17	25	ἕως	ἕως	ἕως	P-	--------
Matthew 1:17	26	τοῦ	τοῦ	ὁ	RA	----GSM-
Matthew 1:17	27	χριστοῦ	Χριστοῦ	Χριστός	N-	----GSM-
Matthew 1:17	28	γενεαὶ	γενεαί	γενεά	N-	----NPF-
Matthew 1:17	29	δεκατέσσαρες	δεκατέσσαρες	δεκατέσσαρες	A-	----NPF-
Matthew 1:18	1	Τοῦ	τοῦ	ὁ	RA	----GSM-
Matthew 1:18	2	δὲ	δέ	δέ	C-	--------
Matthew 1:18	3	Ἰησοῦ	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Matthew 1:18	4	χριστοῦ	Χριστοῦ	Χριστός	N-	----GSM-
Matthew 1:18	5	ἡ	ἡ	ὁ	RA	----NSF-
Matthew 1:18	6	γένεσις	γένεσις	γένεσις	N-	----NSF-
Matthew 1:18	7	οὕτως	οὕτω(ς)	οὕτω(ς)	D-	--------
Matthew 1:18	8	ἦν	ἦν	εἰμί	V-	3IAI-S--
Matthew 1:18	9	μνηστευθείσης	μνηστευθείσης	μνηστεύομαι	V-	-APPGSF-
Matthew 1:18	10	τῆς	τῆς	ὁ	RA	----GSF-
Matthew 1:18	11	μητρὸς	μητρός	μήτηρ	N-	----GSF-
Matthew 1:18	12	αὐτοῦ	αὐτοῦ	αὐτός	RP	----GSM-
Matthew 1:18	13	Μαρίας	Μαρίας	Μαρία	N-	----GSF-
Matthew 1:18	14	τῷ	τῷ	ὁ	RA	----DSM-
Matthew 1:18	15	Ἰωσήφ	Ἰωσήφ	Ἰωσήφ	N-	----DSM-
Matthew 1:18	16	πρὶν	πρίν	πρίν	D-	--------
Matthew 1:18	17	ἢ	ἤ	ἤ	C-	--------
Matthew 1:18	18	συνελθεῖν	συνελθεῖν	συνέρχομαι	V-	-AAN----
Matthew 1:18	19	αὐτοὺς	αὐτούς	αὐτός	RP	----APM-
Matthew 1:18	20	εὑρέθη	εὑρέθη	εὑρίσκω	V-	3API-S--
Matthew 1:18	21	ἐν	ἐν	ἐν	P-	--------
Matthew 1:18	22	γαστρὶ	γαστρί	γαστήρ	N-	----DSF-
Matthew 1:18	23	ἔχουσα	ἔχουσα	ἔχω	V-	-PAPNSF-
Matthew 1:18	24	ἐκ	ἐκ	ἐκ	P-	--------
Matthew 1:18	25	πνεύματος	πνεύματος	πνεῦμα	N-	----GSN-
Matthew 1:18	26	ἁγίου	ἁγίου	ἅγιος	A-	----GSN-
Matthew 1:19	1	Ἰωσὴφ	Ἰωσήφ	Ἰωσήφ	N-	----NSM-
Matthew 1:19	2	δὲ	δέ	δέ	C-	--------
Matthew 1:19	3	ὁ	ὁ	ὁ	RA	----NSM-
Matthew 1:19	4	ἀνὴρ	ἀνήρ	ἀνήρ	N-	----NSM-
Matthew 1:19	5	αὐτῆς	αὐτῆς	αὐτός	RP	----GSF-
Matthew 1:19	6	δίκαιος	δίκαιος	δίκαιος	A-	----NSM-
Matthew 1:19	7	ὢν	ὤν	εἰμί	V-	-PAPNSM-
Matthew 1:19	8	καὶ	καί	καί	C-	--------
Matthew 1:19	9	μὴ	μή	μή	D-	--------
Matthew 1:19	10	θέλων	θέλων	θέλω	V-	-PAPNSM-
Matthew 1:19	11	αὐτὴν	αὐτήν	αὐτός	RP	----ASF-
Matthew 1:19	12	δειγματίσαι	δειγματίσαι	δειγματίζω	V-	-AAN----
Matthew 1:19	13	ἐβουλήθη	ἐβουλήθη	βούλομαι	V-	3API-S--
Matthew 1:19	14	λάθρᾳ	λάθρᾳ	λάθρᾳ	D-	--------
Matthew 1:19	15	ἀπολῦσαι	ἀπολῦσαι	ἀπολύω	V-	-AAN----
Matthew 1:19	16	αὐτήν	αὐτήν	αὐτός	RP	----ASF-
Matthew 1:20	1	ταῦτα	ταῦτα	οὗτος	RD	----APN-
Matthew 1:20	2	δὲ	δέ	δέ	C-	--------
Matthew 1:20	3	αὐτοῦ	αὐτοῦ	αὐτός	RP	----GSM-
Matthew 1:20	4	ἐνθυμηθέντος	ἐνθυμηθέντος	ἐνθυμέομαι	V-	-APPGSM-
Matthew 1:20	5	ἰδοὺ	ἰδού	ἰδού	X-	--------
Matthew 1:20	6	ἄγγελος	ἄγγελος	ἄγγελος	N-	----NSM-
Matthew 1:20	7	κυρίου	κυρίου	κύριος	N-	----GSM-
Matthew 1:20	8	κατ’	κατά	κατά	P-	--------
Matthew 1:20	9	ὄναρ	ὄναρ	ὄναρ	N-	----ASN-
Matthew 1:20	10	ἐφάνη	ἐφάνη	φαίνω	V-	3API-S--
Matthew 1:20	11	αὐτῷ	αὐτῷ	αὐτός	RP	----DSM-
Matthew 1:20	12	λέγων	λέγων	λέγω	V-	-PAPNSM-
Matthew 1:20	13	Ἰωσὴφ	Ἰωσήφ	Ἰωσήφ	N-	----VSM-
Matthew 1:20	14	υἱὸς	υἱός	υἱός	N-	----NSM-
Matthew 1:20	15	Δαυίδ	Δαυίδ	Δαυίδ	N-	----GSM-
Matthew 1:20	16	μὴ	μή	μή	D-	--------
Matthew 1:20	17	φοβηθῇς	φοβηθῇς	φοβέομαι	V-	2APS-S--
Matthew 1:20	18	παραλαβεῖν	παραλαβεῖν	παραλαμβάνω	V-	-AAN----
Matthew 1:20	19	Μαρίαν	Μαρίαν	Μαρία	N-	----ASF-
Matthew 1:20	20	τὴν	τήν	ὁ	RA	----ASF-
