strongs	word	brief_definition	full_definition
G0001	ἄλφα	the first letter of the Greek alphabet	alpha; the first letter of the Greek alphabet.
G0002	Ἀαρών, ὁ	Aaron	Aaron, son of Amram and Jochebed, brother of Moses.
G0003	Ἀβαδδών, ὁ	Abaddon	Abaddon, Destroyer (i.e. Destroying Angel) or "place of destruction" (personified).
G0004	ἀβαρής, ες	not burdensome	not burdensome, bringing no weight or oppression upon.
G0005	Ἀββά	Father	Abba, Father.
G0006	Ἄβελ, ὁ	Abel	Abel, second son of Adam and Eve, brother of Cain.
G0007	Ἀβιά, ὁ	Abijah	Abijah, (a) a king, son of Rehoboam, (b) founder of the eighth class of priests.
G0008	Ἀβιαθάρ, ὁ	Abiathar	Abiathar, a priest in King David's time.
G0009	Ἀβιληνή, ῆς, ἡ	Abilene	the Abilenian territory, the territory of Abila (in Syria), a small principality in the mountains of Damascus.
G0010	Ἀβιούδ, ὁ	Abiud	Abiud, son of Zerubbabel and father of Eliakim.
G0011	Ἀβραάμ, ὁ	Abraham	Abraham, progenitor of the Hebrew race.
G0012	ἄβυσσος, ου, ἡ	the abyss, the unfathomable depth	the abyss, unfathomable depth, an especially Jewish conception, the home of the dead and of evil spirits.
G0013	Ἅγαβος, ου, ὁ	Agabus	Agabus, a Christian prophet.
G0014	ἀγαθοεργέω	I perform good deeds	I work that which is good, perform good deeds.
G0015	ἀγαθοποιέω	I do that which is good	I do that which is good.
G0016	ἀγαθοποιΐα, ας, ἡ	the doing of that which is good	the doing of that which is good, well-doing.
G0017	ἀγαθοποιός, οῦ, ὁ	a doer of that which is good	a doer of that which is good.
G0018	ἀγαθός, ή, όν	good	intrinsically good, good in nature, good whether it be seen to be so or not, the widest and most colorless of all words with this meaning.
G0019	ἀγαθωσύνη, ης, ἡ	goodness	intrinsic goodness, especially as a personal quality, with stress on the kindly (rather than the righteous) side of goodness.
G0020	ἀγαλλίασις, εως, ἡ	exultation, exhilaration	wild joy, ecstatic delight, exultation, exhilaration.
G0021	ἀγαλλιάω	I exult, am full of joy	I exult, am full of joy.
G0022	ἄγαμος, οῦ, ὁ, ἡ	unmarried	unmarried, of a person not in a state of wedlock, whether he or she has formerly been married or not.
G0023	ἀγανακτέω	I am angry, am incensed	I am angry, incensed.
G0024	ἀγανάκτησις, εως, ἡ	indignation	feeling of anger, indignation, vexation.
G0025	ἀγαπάω	I love	I love, wish well to, take pleasure in, long for; denotes the love of reason, esteem.
G0026	ἀγάπη, ης, ἡ	love	love, benevolence, good will, esteem; plur: love-feasts.
G0027	ἀγαπητός, ή, όν	loved, beloved	loved, beloved, with two special applications: the Beloved, a title of the Messiah (Christ), as beloved beyond all others by the God who sent Him; of Christians, as beloved by God, Christ, and one another.
G0028	Ἁγάρ, ἡ	Hagar	Hagar, the servant of Sarah, concubine of Abraham.
G0029	ἀγγαρεύω	I impress, send	I impress (into my service), send (on an errand).
G0030	ἀγγεῖον, ου, τό	a vessel, flask, can	a vessel, flask.
G0030	ἄγγος, -εος, τό	a vessel	a vessel.
G0031	ἀγγελία, ας, ἡ	a message	a message.
G0032	ἄγγελος, ου, ὁ	an angel, messenger	a messenger, generally a (supernatural) messenger from God, an angel, conveying news or behests from God to men.
G0034	ἀγέλη, ης, ἡ	a flock, herd	a flock, herd.
G0035	ἀγενεαλόγητος, ον	of unrecorded genealogy	of unrecorded genealogy, whose descent cannot be traced.
G0036	ἀγενής, ές	without family, ignoble	lit: without family, hence: ignoble, base.
G0037	ἁγιάζω	I make holy, sanctify	I make holy, treat as holy, set apart as holy, sanctify, hallow, purify.
G0038	ἁγιασμός, οῦ, ὁ	sanctification, holiness	the process of making or becoming holy, set apart, sanctification, holiness, consecration.
G0040	ἅγιος, ία, ον	set apart, holy, sacred	set apart by (or for) God, holy, sacred.
G0041	ἁγιότης, ητος, ἡ	holiness	holiness, sanctity, as an abstract quality.
G0042	ἁγιωσύνη, ης, ἡ	a holy or sanctified state	a holy or sanctified state.
G0043	ἀγκάλη, ης, ἡ	an arm	an arm, especially as bent to receive a burden.
G0044	ἄγκιστρον, ου, τό	a fish-hook	a fish-hook.
G0045	ἄγκυρα, ας, ἡ	an anchor	an anchor.
G0046	ἄγναφος, ον	unshrunken, new	unshrunken, new.
G0047	ἁγνεία, ας, ἡ	purity, chastity	purity, chastity.
G0048	ἁγνίζω	I cleanse, purify	I cleanse, purify, either ceremonially, actually, or morally.
G0049	ἁγνισμός, οῦ, ὁ	purification	(ceremonial) purification.
G0050	ἀγνοέω	I do not know, am ignorant of	I do not know, am ignorant of (a person, thing, or fact), sometimes with the idea of willful ignorance.
G0051	ἀγνόημα, ατος, τό	an offence committed through ignorance	an offence committed through ignorance, an error due to (willful or culpable) ignorance.
G0052	ἄγνοια, ας, ἡ	ignorance	ignorance, inadvertence, sometimes with the idea of willful blindness.
G0053	ἁγνός, ή, όν	pure, chaste	(originally, in a condition prepared for worship), pure (either ethically, or ritually, ceremonially), chaste.
G0054	ἁγνότης, τητος, ἡ	purity, chastity	purity, chastity.
G0055	ἁγνῶς	purely, sincerely	purely, sincerely, with pure motives, honestly.
G0056	ἀγνωσία, ας, ἡ	ignorance	ignorance; specifically: willful ignorance.
G0057	ἄγνωστος, ον	unknown	unknown, unknowable.
G0058	ἀγορά, ᾶς, ἡ	market-place	market-place, forum, public place of assembly.
G0059	ἀγοράζω	I buy	I buy.
G0060	ἀγοραῖος, ον	a lounger in the market-place	a lounger in the market-place, perhaps with the idea of agitator.
G0061	ἄγρα, ας, ἡ	catching, a catch	catching, a catch.
G0062	ἀγράμματος, ον	uneducated	unlettered, illiterate, uneducated, perhaps with the narrower idea: unacquainted with Rabbinic teaching.
G0063	ἀγραυλέω	I spend the night in the open	I spend the night in the open, bivouac.
G0064	ἀγρεύω	I catch, capture	I catch, capture.
G0065	ἀγριέλαιος, ου, ἡ	a wild olive tree	a wild olive tree, oleaster.
G0066	ἄγριος, ία, ιον	wild, fierce	wild, fierce.
G0067	Ἀγρίππας, α, ὁ	Agrippa	Agrippa, i.e. Herod Agrippa II.
G0068	ἀγρός, οῦ, ὁ	a field, the country	a field, especially as bearing a crop; the country, lands, property in land, a country estate.
G0069	ἀγρυπνέω	I am awake	I am not asleep, am awake; especially: I am watchful, careful.
G0070	ἀγρυπνία, ας, ἡ	sleeplessness, watching	the state of being awake (at night), sleeplessness, watching.
G0071	ἄγω	I lead	I lead, lead away, bring (a person, or animal), guide, spend a day, go.
G0072	ἀγωγή, ῆς, ἡ	conduct	a leading, guiding; hence: mode of life, conduct.
G0073	ἀγών, ῶνος, ὁ	a contest	an (athletic) contest; hence, a struggle (in the soul).
G0074	ἀγωνία, ας, ἡ	contest, agony	(properly the feeling of the athlete before a contest), great fear, terror, of death; anxiety, agony.
G0075	ἀγωνίζομαι	I strive, contend	I am struggling, striving (as in an athletic contest or warfare); I contend, as with an adversary.
G0076	Ἀδάμ, ὁ	Adam	Adam, the first man, the first parent of the human race.
G0077	ἀδάπανος, ον	without expense, free	without expense, for which nothing has to be paid.
G0078	Ἀδδί, ὁ	Addi	Addi, son of Cosam, and father of Melchi, one of the ancestors of Jesus.
G0079	ἀδελφή, ῆς, ἡ	a sister	a sister, a woman (fellow-)member of a church, a Christian woman.
G0080	ἀδελφός, οῦ, ὁ	a brother	a brother, member of the same religious community, especially a fellow-Christian.
G0081	ἀδελφότης, τητος, ἡ	brotherhood	brotherhood (in the collective sense), the members of the Christian Church, Christendom.
G0082	ἄδηλος, ον	unseen, not obvious	unseen, not obvious, inconspicuous, indistinct.
G0083	ἀδηλότης, τητος, ἡ	uncertainty	the quality of being unseen (of disappearing), indefiniteness, uncertainty.
G0084	ἀδήλως	out of sight, uncertainly	out of sight, obscurely, inconspicuously, uncertainly, without certain aim.
G0085	ἀδημονέω	I am troubled, distressed	I feel fear, lack courage, am distressed, troubled.
G0086	ᾍδης, ου, ὁ	Hades	Hades, the unseen world.
G0087	ἀδιάκριτος, ον	unambiguous	without uncertainty, unambiguous, undivided, whole-hearted.
G0088	ἀδιάλειπτος, ον	unceasing, unremitting	unceasing, unremitting.
G0089	ἀδιαλείπτως	unceasingly	unceasingly, without remission.
G0090	ἀδιαφθορία, ας, ἡ	incorruptibility, soundness, integrity	incorruptibility, soundness, integrity, purity.
G0091	ἀδικέω	I act unjustly towards	I act unjustly towards, injure, harm.
G0092	ἀδίκημα, ατος, τό	a crime, misdeed	a legal wrong, crime (with which one is charged), misdeed, crime against God, a sin.
G0093	ἀδικία, ας, ἡ	unrighteousness	injustice, unrighteousness, hurt.
G0094	ἄδικος, ον	unjust, unrighteous	unjust, unrighteous, wicked.
G0095	ἀδίκως	unjustly	unjustly, undeservedly.
G0096	ἀδόκιμος, ον	failing to pass the test	failing to pass the test, unapproved, counterfeit.
G0097	ἄδολος, ον	pure	unadulterated, pure, guileless.
G0098	Ἀδραμυττηνός, ή, όν	belonging to Adramyttium	belonging to Adramyttium, a port in Mysia, in Asia Minor.
G0099	Ἀδρίας, ου, ὁ	the Adriatic Sea	the Hadria, a name given by sailors not merely to the Adriatic Sea, to which it properly belonged, but also to the open Mediterranean to the south-east of Italy, to the sea that lay between Malta, Italy, Greece, and Crete.
G0100	ἁδρότης, τητος, ἡ	lavishness	lavishness, lavish generosity, abundance, bounty.
G0101	ἀδυνατέω	to be impossible	to be impossible; I am unable.
G0102	ἀδύνατος, ον	incapable, impossible	of persons: incapable; of things: impossible; either the inability, or that which is impossible.
G0103	ᾄδω	I sing	I sing.
G0104	ἀεί	always	always, unceasingly, perpetually; on every occasion.
G0105	ἀετός, οῦ, ὁ	an eagle, bird of prey	an eagle, bird of prey.
G0106	ἄζυμος, ον	unleavened, the paschal feast, uncorrupted	unleavened, the paschal feast (a feast of the Hebrews); fig: uncorrupted, sincere.
G0107	Ἀζώρ, ὁ	Azor	Azor, son of Eliakim and father of Zadok, an ancestor of Jesus.
G0108	Ἄζωτος, ου, ἡ	Azotus, Ashdod	Azotus, Ashdod, a coast town of Palestine belonging to the ancient Philistia, and part of Herod's kingdom.
G0109	ἀήρ, ἀέρος, ὁ	air	air, the lower air we breathe.
G0110	ἀθανασία, ας, ἡ	immortality	immortality, imperishability, freedom from death.
G0111	ἀθέμιτος, ον	illegal, unlawful	illegal, unlawful, criminal, lawless.
G0112	ἄθεος, ον	godless	without god, without (the only true) God, godless.
G0113	ἄθεσμος, ον	lawless	lawless, unrestrained, licentious.
G0114	ἀθετέω	I annul	I annul, make of no effect, set aside, ignore, slight; I break faith with.
G0115	ἀθέτησις, εως, ἡ	nullification, abrogation	annulment, nullification, abrogation.
G0116	Ἀθῆναι, ῶν, αἱ	Athens	Athens, the intellectual capital of Greece.
G0117	Ἀθηναῖος, α, ον	Athenian	Athenian, belonging to Athens.
G0118	ἀθλέω	I compete	I engage, compete, in an (athletic) contest.
G0119	ἄθλησις, εως, ἡ	a contest	a struggling (as in an athletic contest).
G0120	ἀθυμέω	I lose heart	I lose heart, am despondent, am disheartened.
G0121	ἀθῷος, ον	guiltless	(sometimes: unpunished), guiltless, innocent.
G0122	αἴγειος, α, ον	of a goat	of a goat.
G0123	αἰγιαλός, οῦ, ὁ	sea-coast, beach	sea-coast, (sandy) beach; shore (of sea or lake), land.
G0124	Αἰγύπτιος, α, ον	Egyptian	Egyptian.
G0125	Αἴγυπτος, ου, ἡ	Egypt	Egypt.
G0126	ἀΐδιος, ον	eternal	eternal, everlasting.
G0127	αἰδώς, οῦς, ἡ	shame, modesty	shame, modesty.
G0128	Αἰθίοψ, οπος, ὁ	an Ethiopian	an Ethiopian, Abyssinian.
G0129	αἷμα, ατος, τό	blood	blood (especially as shed).
G0130	αἱματεκχυσία, ας, ἡ	a shedding or pouring forth of blood	a shedding or pouring forth of blood (in sacrifice).
G0131	αἱμορροέω	I suffer from a continual flow (oozing) of blood	I suffer from a continual flow (oozing) of blood.
G0132	Αἰνέας, α, ὁ	Aeneas	Aeneas, a citizen of Lydda.
G0133	αἴνεσις, εως, ἡ	praise	praise, commendation.
G0134	αἰνέω	I praise	I praise.
G0135	αἴνιγμα, ατος, τό	a riddle, an enigma	a riddle, an enigma.
G0136	αἶνος, ου, ὁ	praise	praise.
G0137	Αἰνών, ἡ	Aenon	Aenon; Eusebius and Jerome place this site 8 (Roman) miles south of Scythopolis near the Jordan.
G0138	αἱρέω	I choose, prefer	I choose, prefer.
G0139	αἵρεσις, εως, ἡ	a self-chosen opinion, a sect	a self-chosen opinion, a religious or philosophical sect, discord or contention.
G0140	αἱρετίζω	I choose	I choose.
G0141	αἱρετικός, ή, όν	factious	disposed to form sects, sectarian, heretical, factious.
G0142	αἴρω	I raise, lift up	I raise, lift up, take away, remove.
G0143	αἰσθάνομαι	I perceive	I perceive, understand.
G0144	αἴσθησις, εως, ἡ	perception	perception, understanding, discernment.
G0145	αἰσθητήριον, ου, τό	perceptive faculty	perceptive faculty.
G0146	αἰσχροκερδής, ες	greedy	greedy, fond of base gain.
G0147	αἰσχροκερδῶς	greedily	greedily, in a spirit of eagerness for base gain.
G0148	αἰσχρολογία, ας, ἡ	filthy speech	filthy speech, foul language.
G0150	αἰσχρός, ά, όν	base, disgraceful	base, disgraceful.
G0151	αἰσχρότης, τητος, ἡ	obscenity, indecency, baseness	obscenity, indecency, baseness.
G0152	αἰσχύνη, ης, ἡ	shame	shame, shamefacedness, shameful deeds.
G0153	αἰσχύνομαι	I am ashamed, am put to shame	I am ashamed, am put to shame.
G0154	αἰτέω	I ask, request, beg, petition	I ask, request, petition, demand.
G0155	αἴτημα, ατος, τό	a petition, request	a petition, request.
G0156	αἰτία, ας, ἡ	a cause, reason, charge	a cause, reason, excuse; a charge, accusation; guilt; circumstances, case.
G0157	αἰτίωμα, ατος, τό	a charge, accusation	a charge, accusation.
G0158	αἴτιον, ου, τό	cause, crime	cause, crime, guilt, criminality.
G0159	αἴτιος, ου, ὁ	the cause of, the originator of	the cause, author; the culprit, the accused; the crime.
G0160	αἰφνίδιος, ον	unexpected, sudden	unexpected, sudden.
G0161	αἰχμαλωσία, ας, ἡ	captivity	captivity; a captive multitude.
G0162	αἰχμαλωτεύω	I take captive	I take captive, captivate.
G0163	αἰχμαλωτίζω	I take captive, subdue, ensnare	I take captive (in war); I subdue, ensnare.
G0164	αἰχμάλωτος, ου, ὁ	a captive, prisoner	a captive (in war), a prisoner.
G0165	αἰών, ῶνος, ὁ	an age, a cycle of time	an age, a cycle (of time), especially of the present age as contrasted with the future age, and of one of a series of ages stretching to infinity.
G0166	αἰώνιος, ία, ιον	eternal, unending	age-long, and therefore: practically eternal, unending; partaking of the character of that which lasts for an age, as contrasted with that which is brief and fleeting.
G0167	ἀκαθαρσία, ας, ἡ	uncleanness, impurity	uncleanness, impurity.
G0169	ἀκάθαρτος, ον	unclean, impure	unclean, impure.
G0170	ἀκαιρέομαι	I am without a suitable opportunity	I am without a suitable opportunity.
G0171	ἀκαίρως	unseasonably	unseasonably, out of due season, inopportunely.
G0172	ἄκακος, ον	innocent, guileless, simple	innocent, guileless, simple.
G0173	ἄκανθα, ης, ἡ	a thorn-bush	a thorn-bush, prickly plant; a thorn.
G0174	ἀκάνθινος, η, ον	made of thorns	made of thorns.
G0175	ἄκαρπος, ον	unfruitful, barren	unfruitful, barren, profitless.
G0176	ἀκατάγνωστος, ον	uncondemned, unimpeachable	not open to just rebuke; irreprehensible.
G0177	ἀκατακάλυπτος, ον	not veiled, unveiled	unveiled, uncovered.
G0178	ἀκατάκριτος, ον	uncondemned	uncondemned, not yet tried.
G0179	ἀκατάλυτος, ον	indissoluble, that cannot be broken up	indissoluble, that cannot be broken up.
G0180	ἀκατάπαυστος, ον	not ceasing from, not abandoning	not ceasing from, not abandoning (giving up).
G0181	ἀκαταστασία, ας, ἡ	disturbance, upheaval, revolution	disturbance, upheaval, revolution, almost anarchy, first in the political, and thence in the moral sphere.
G0182	ἀκατάστατος, ον	unsettled, unstable	unsettled, unstable (though these are hardly strong enough equivalents), almost anarchic.
G0183	ἀκατάσχετος, ον	unrestrainable, unruly, untamable	unrestrainable, unruly, untamable.
G0184	Ἀκελδαμά	Akeldama	Akeldama (in Aramaic: field of blood).
G0185	ἀκέραιος, ον	simple, unsophisticated, innocent	(lit: unmixed) simple, unsophisticated, sincere, blameless.
G0186	ἀκλινής, ες	unbent, unyielding, resolute	unbent, unyielding, resolute, firm.
G0187	ἀκμάζω	I reach maturity, become ripe	I reach maturity, become ripe, am in full vigor.
G0188	ἀκμήν	even now	even now.
G0189	ἀκοή, ῆς, ἡ	hearing, faculty of hearing, ear	hearing, faculty of hearing, ear; report, rumor.
G0190	ἀκολουθέω	I accompany, attend, follow	I accompany, attend, follow.
G0191	ἀκούω	I hear, listen	I hear, listen, comprehend by hearing; pass: is heard, reported.
G0192	ἀκρασία, ας, ἡ	incontinence, intemperance, lack of restraint	incontinence, intemperance (in wide sense), lack of restraint.
G0193	ἀκρατής, ές	lacking self-control, inclined to excess	lacking self-control, powerless, inclined to excess.
G0194	ἄκρατος, ον	unmixed, undiluted	unmixed, undiluted, pure.
G0195	ἀκρίβεια, ας, ἡ	strictness, accuracy	strictness, accuracy, exactness, attention to detail, scrupulousness.
G0196	ἀκριβέστατος	most exact, strict	most exact, strict.
G0198	ἀκριβόω	I examine carefully, inquire strictly	I learn carefully, inquire with exactness.
G0199	ἀκριβῶς	carefully, exactly, strictly	carefully, exactly, strictly, distinctly.
G0200	ἀκρίς, ίδος, ἡ	a locust	a locust.
G0201	ἀκροατήριον, ίου, τό	auditorium, recitation hall, court room	auditorium, recitation hall, court room (for hearing cases).
G0202	ἀκροατής, οῦ, ὁ	a hearer of, a listener to	a hearer of, a listener to.
G0203	ἀκροβυστία, ας, ἡ	foreskin	(a technical word of Jewish use) foreskin, prepuce: used sometimes as a slang term by Jews, of Gentiles.
G0204	ἀκρογωνιαῖος, α, ον	in the corner, cornerstone	in the corner (of a building); subst: corner-(stone).
G0205	ἀκροθίνιον, ίου, τό	spoil, treasure	(lit: top of a heap), first-fruits, spoil, treasure (taken in war).
G0206	ἄκρον, ου, τό	the end, extremity	the end, extremity.
G0207	Ἀκύλας, ου, ὁ	Aquila	the Greek way of writing the Latin Aquila, a male proper name; the husband of Priscilla (Prisca), and a Jew, of a family belonging to (Sinope in ?) Pontus.
G0208	ἀκυρόω	I annul, make of no effect, cancel	I annul, make of no effect, cancel.
G0209	ἀκωλύτως	freely, without hindrance	(characteristic of legal documents), without hindrance, freely.
G0210	ἄκων, ἄκουσα, ἆκον	unwilling	unwilling, generally used where English would express by an adverb: unwillingly.
G0211	ἀλάβαστρον, ου, τό	an alabaster phial or bottle	a phial or bottle of perfumed ointment, usually of alabaster.
G0212	ἀλαζονεία, ας, ἡ	boasting, show, arrogant display	boasting, show, arrogant display, ostentation; plur: occasions of ostentation.
G0213	ἀλαζών, όνος, ὁ	a boaster	a boaster, one who gives one's self airs in a loud and flaunting way.
G0214	ἀλαλάζω	I cry aloud, a clanging or clashing cymbal	I cry aloud, raise a war-cry; a clanging or clashing cymbal.
G0215	ἀλάλητος, ον	unutterable, that baffles words	unutterable, that baffles words, unexpressed.
G0216	ἄλαλος, ον	unable to speak	unable to speak or articulate; speechless.
G0217	ἅλας, ατος, τό	salt	salt.
G0218	ἀλείφω	I anoint	I anoint: festivally, in homage, medicinally, or in anointing the dead.
G0219	ἀλεκτοροφωνία, ας, ἡ	cockcrow	the cockcrow, as a period of time, between midnight and 3 a.m.
G0220	ἀλέκτωρ, ορος, ὁ	a cock, rooster	a cock, rooster.
G0221	Ἀλεξανδρεύς, έως, ὁ	an Alexandrian	an Alexandrian, a native (or resident) of Alexandria in Egypt.
G0222	Ἀλεξανδρῖνος, η, ον	Alexandrian	Alexandrian, belonging to Alexandria in Egypt.
G0223	Ἀλέξανδρος, ου, ὁ	Alexander	Alexander, a name of Greek origin, (a) son of Simon of Cyrene, (b) the High Priest's kinsman, (c) an Ephesian Jew, (d) the coppersmith.
G0224	ἄλευρον, ου, τό	meal, flour	meal, flour.
G0225	ἀλήθεια, ας, ἡ	truth	truth, but not merely truth as spoken; truth of idea, reality, sincerity, truth in the moral sphere, divine truth revealed to man, straightforwardness.
G0226	ἀληθεύω	I say, speak truth, I do truth	I say (speak) truth, do truth, maintain truth (the truth).
G0227	ἀληθής, ές	unconcealed, true	unconcealed, true, true in fact, worthy of credit, truthful.
G0228	ἀληθινός, η, ον	true, real, genuine	true (lit: made of truth), real, genuine.
G0229	ἀλήθω	I grind	I grind.
G0230	ἀληθῶς	truly, really, certainly	truly, really, certainly, surely.
G0231	ἁλιεύς, έως, ὁ	a fisherman	a fisherman.
G0232	ἁλιεύω	I fish	I fish.
G0233	ἁλίζω	I salt, sprinkle with salt, keep fresh and sound	I salt, sprinkle with salt (of sacrifices or of those who offer sacrifice), keep fresh and sound, and so acceptable to God.
G0234	ἀλίσγημα, ατος, τό	pollution, perhaps a polluted thing	pollution, perhaps a polluted thing (especially of food).
G0235	ἀλλά	but, except	but, except, however.
G0236	ἀλλάσσω	I change, alter	I change, alter, exchange, transform.
G0237	ἀλλαχόθεν	from another quarter, by another way	from another place, by another way.
G0238	ἀλληγορέω	I speak allegorically	I speak allegorically.
G0239	Ἁλληλούϊα	Hallelujah, Praise the Lord	Hallelujah, Praise the Lord.
G0240	ἀλλήλων	one another	one another, each other.
G0241	ἀλλογενής, ες	of another nation, a foreigner	of another nation, a foreigner.
G0242	ἅλλομαι	I leap, bubble up	I leap, leap up; of water: I spring up, bubble up.
G0243	ἄλλος, η, ον	other, another, different	other, another (of more than two), different.
G0244	ἀλλοτριοεπίσκοπος, ου, ὁ	a prier into other men's affairs	one who meddles in things alien to his calling or in matters belonging to others; factious.
G0245	ἀλλότριος, ία, ιον	belonging to another person, foreign	belonging to another person, belonging to others, foreign, strange.
G0246	ἀλλόφυλος, ον	foreign	foreign, of another tribe or race.
G0247	ἄλλως	otherwise	otherwise, things that are otherwise.
G0248	ἀλοάω	I thresh	I thresh (wheat).
G0249	ἄλογος, ον	unreasonable, senseless	without reason, irrational; contrary to reason, absurd.
G0250	ἀλόη, ης, ἡ	aloes	aloes, the powdered fragrant aloe wood.
G0251	ἅλς, ἁλός, ὁ	salt	salt.
G0252	ἁλυκός, ή, όν	salty, saltine, bitter	salty, saltine, bitter.
G0253	ἄλυπος, ον	free from pain, grief, trouble	free from pain (grief, trouble).
G0254	ἅλυσις, εως, ἡ	a light chain	a (light) chain, bond.
G0255	ἀλυσιτελής, ές	profitless, unprofitable	profitless, unprofitable, ruinous, detrimental.
G0256	Ἀλφαίος, ου, ὁ	Alphaeus	Alphaeus; apparently two persons, (a) father of Levi, and (b) father of James.
G0257	ἅλων, ωνος, ἡ	a threshing-floor	a threshing-floor.
G0258	ἀλώπηξ, εκος, ἡ	a fox	a fox; a fox-like, crafty person.
G0259	ἅλωσις, εως, ἡ	capture, capturing	capture, capturing.
G0260	ἅμα	at the same time, along with	at the same time, therewith, along with, together with.
G0261	ἀμαθής, ές	unlearned, ignorant	unlearned, ignorant.
G0262	ἀμαράντινος, η, ον	unfading, fadeless	unfading, fadeless, enduring.
G0263	ἀμάραντος, ον	unfading	unfading, enduring.
G0264	ἁμαρτάνω	I sin	originally: I miss the mark, hence (a) I make a mistake, (b) I sin, commit a sin (against God); sometimes the idea of sinning against a fellow-creature is present.
G0265	ἁμάρτημα, ατος, τό	a fault, sin, evil deed	a fault, sin, evil deed.
G0266	ἁμαρτία, ας, ἡ	a sin	prop: missing the mark; hence: (a) guilt, sin, (b) a fault, failure (in an ethical sense), sinful deed.
G0267	ἀμάρτυρος, ον	without witness, untestified to	without witness, untestified to.
G0268	ἁμαρτωλός, ον	sinning, sinful, a sinner	sinning, sinful, depraved, detestable.
G0269	ἄμαχος, ον	not quarrelsome, peaceable	peaceable, abstaining from fighting, not contentious.
G0270	ἀμάω	I mow, reap	I mow, reap, collect.
G0271	ἀμέθυστος, ου, ἡ	amethyst	amethyst (a kind of rock crystal: the best specimens are the color of unmixed wine, whence perhaps the name), believed to stave off drunkenness.
G0272	ἀμελέω	I neglect	I neglect, am careless of, disregard.
G0273	ἄμεμπτος, ον	blameless	blameless, free from fault or defect.
G0274	ἀμέμπτως	blamelessly	blamelessly.
G0275	ἀμέριμνος, ον	free from anxiety	free from anxiety (though anxiety is rather too strong a word) or care.
G0276	ἀμετάθετος, ον	unchanged, unchangeable	unchanged, unchangeable.
G0277	ἀμετακίνητος, ον	immovable, firm	immovable, firm.
G0278	ἀμεταμέλητος, ον	not to be repented of	not to be repented of, about which no change of mind can take place, not affected by change of mind.
G0279	ἀμετανόητος, ον	unrepentant	unrepentant, impenitent.
G0280	ἄμετρος, ον	not measurable, immeasurable	not measurable, immeasurable, to a limitless degree.
G0281	ἀμήν	verily, truly, amen, so let it be	verily, truly, amen; at the end of sentences may be paraphrased by: So let it be.
G0282	ἀμήτωρ, ορος	whose mother's name is not recorded or known	(lit: motherless), whose mother's name is not recorded (or known).
G0283	ἀμίαντος, ον	undefiled, untainted	undefiled, untainted, free from contamination.
G0284	Ἀμιναδάβ, ὁ	Amminadab	Amminadab, son of Ram and father of Nahshon, one of the ancestors of Jesus.
G0285	ἄμμος, ου, ἡ	sand	sand, sandy ground.
G0286	ἀμνός, οῦ, ὁ	a lamb	a lamb (as a type of innocence, and with sacrificial connotation).
G0287	ἀμοιβή, ῆς, ἡ	a change, an exchange	a change, an exchange; hence plur: reciprocal good deeds (services), a fitting requital.
G0288	ἄμπελος, ου, ἡ	a vine	a vine, grape-vine.
G0289	ἀμπελουργός, οῦ, ὁ	a vine-dresser	a vine-dresser, gardener.
G0290	ἀμπελών, ῶνος, ὁ	a vineyard	a vineyard.
G0291	Ἀμπλίας, ου, ὁ	Ampliatus	Ampliatus (Amplias), a male member of the church at Rome, probably of the imperial household.
G0292	ἀμύνομαι	I defend	I ward off, defend myself against, resist, defend, assist.
G0293	ἀμφίβληστρον, ου, τό	a fishing net, drag-net	prop: something thrown around; a fishing-net, drag-net.
G0294	ἀμφιέννυμι	I put on, clothe	I put on, clothe.
G0295	Ἀμφίπολις, εως, ἡ	Amphipolis	Amphipolis, a leading city of Macedonia.
G0296	ἄμφοδον, ου, τό	a street, quarter, block	prop: a road around anything; the street of a village.
G0297	ἀμφότεροι, αι, α	both of two	both (of two).
G0298	ἀμώμητος, ον	without blame or fault	without blame or fault, unblemished.
G0299	ἄμωμος, ον	blameless	blameless, without blemish, unblemished, faultless.
G0300	Ἀμών, ὁ	Amon	Amon (Amos), son of Manasseh and father of Josiah, an ancestor of Jesus.
G0301	Ἀμώς, ὁ	Amos	Amos, son of Manasseh and father of Josiah, an ancestor of Jesus.
G0302	ἄν	an untranslatable word that makes a statement contingent	an untranslatable word (under the circumstances, in that case, anyhow), the general effect of which is to make a statement contingent, which would otherwise be definite: it is thus regularly used with the subjunctive mood.
G0303	ἀνά	and, apiece, by, each, every, in, through	prep. Rare in NT; prop: upwards, up; among, between; in turn; apiece, by; as a prefix: up, to, anew, back.
G0304	ἀναβαθμός, οῦ, ὁ	a step, a flight of steps	a step, a flight of steps; the well-known "stairs" leading up from the temple to the tower of Antonia at Jerusalem.
G0305	ἀναβαίνω	I go up, mount, ascend	I go up, mount, ascend; of things: I rise, spring up, come up.
G0306	ἀναβάλλω	I postpone, defer	I postpone, defer, especially: I postpone the trial of.
G0307	ἀναβιβάζω	I draw up	I draw up, as a net to shore.
G0308	ἀναβλέπω	I look up, recover my sight	I look up, recover my sight.
G0309	ἀνάβλεψις, εως, ἡ	recovery of sight	recovery of sight.
G0310	ἀναβοάω	I shout upwards, cry out, raise my voice	I shout upwards, cry out, raise my voice.
G0311	ἀναβολή, ῆς, ἡ	postponement, delay, putting off	postponement, delay, putting off.
G0312	ἀναγγέλλω	I announce, make known, report	I bring back word, report; I announce, declare.
