strongs	word	transliteration	pronunciation	part_of_speech	language	derivation	definition	kjv_usage
H4225	מַחְבֶּרֶת	machbereth	makh-beh'-reth	n-f	heb	from 2266;	a junction, i.e. seam or sewed piece	coupling.
H4226	מְחַבְּרָה	mᵉchabbᵉrâh	mekh-ab-ber-aw'	n-f	heb	from 2266;	a joiner, i.e. brace or cramp	coupling, joining.
H4227	מַחֲבַת	machăbath	makh-ab-ath'	n-f	heb	from the same as 2281;	a pan for baking in	pan.
H4228	מַחֲגֹרֶת	machăgôreth	makh-ag-o'-reth	n-f	heb	from 2296;	a girdle	girding.
H4229	מָחָה	mâchâh	maw-khaw'	v	heb	a primitive root;	properly, to stroke or rub; by implication, to erase; also to smooth (as if with oil), i.e. grease or make fat; also to touch, i.e. reach to	abolish, blot out, destroy, full of marrow, put out, reach unto, × utterly, wipe (away, out).
H4230	מְחוּגָה	mᵉchûwgâh	mekk-oo-gaw'	n-f	heb	from 2328;	an instrument for marking a circle, i.e. compasses	compass.
H4231	מָחוֹז	mâchôwz	maw-khoze'	n-m	heb	from an unused root meaning to enclose;	a harbor (as shut in by the shore)	haven.
H4232	מְחוּיָאֵל	Mᵉchûwyâʼêl	mekh-oo-yaw-ale'	n-pr-m	x-pn	or מְחִיּיָאֵל; from 4229 and 410; smitten of God;	Mechujael or Mechijael, an antediluvian patriarch	Mehujael.
H4233	מַחֲוִים	Machăvîym	makh-av-eem'	a	x-pn	apparently a patrial, but from an unknown place (in the plural only for a singular);	a Machavite or inhabitant of some place named Machaveh	Mahavite.
H4234	מָחוֹל	mâchôwl	maw-khole'	n-m	heb	from 2342;	a (round) dance	dance(-cing).
H4235	מָחוֹל	Mâchôwl	maw-khole'	n-pr-m	x-pn	the same as 4234; dancing;	Machol, an Israelite	Mahol.
H4236	מַחֲזֶה	machăzeh	makh-az-eh'	n-m	heb	from 2372;	a vision	vision.
H4237	מֶחֱזָה	mechĕzâh	mekh-ez-aw'	n-f	heb	from 2372;	a window	light.
H4238	מַחֲזִיאוֹת	Machăzîyʼôwth	makh-az-ee-oth'	n-pr-f	x-pn	feminine plural from 2372; visions;	Machazioth, an Israelite	Mahazioth.
H4239	מְחִי	mᵉchîy	mekh-ee'	n-m	heb	from 4229;	a stroke, i.e. battering-ram	engines.
