strongs	word	transliteration	pronunciation	part_of_speech	language	derivation	definition	kjv_usage
H0001	אָב	ʼâb	awb	n-m	heb	a primitive word;	father, in a literal and immediate, or figurative and remote application	chief, (fore-) father(-less), × patrimony, principal. Compare names in 'Abi-'.
H0002	אַב	ʼab	ab	n-m	arc	(Aramaic) corresponding to 1		father.
H0003	אֵב	ʼêb	abe	n-m	heb	from the same as 24;	a green plant	greenness, fruit.
H0004	אֵב	ʼêb	abe	n-m	arc	(Aramaic) corresponding to 3		fruit.
H0005	אֲבַגְתָא	ʼĂbagthâʼ	ab-ag-thaw'	n-pr-m	x-pn	of foreign origin;	Abagtha, a eunuch of Xerxes	Abagtha.
H0006	אָבַד	ʼâbad	aw-bad'	v	heb	a primitive root;	properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)	break, destroy(-uction), not escape, fail, lose, (cause to, make) perish, spend, × and surely, take, be undone, × utterly, be void of, have no way to flee.
H0007	אֲבַד	ʼăbad	ab-ad'	v	arc	(Aramaic) corresponding to 6		destroy, perish.
H0008	אֹבֵד	ʼôbêd	o-bade'	n-m	heb	active of participle of 6;	(concrete) wretched or (abstract) destruction	perish.
H0009	אֲבֵדָה	ʼăbêdâh	ab-ay-daw'	n-f	heb	from 6; Compare 10.	concrete, something lost; abstract, destruction, i.e. Hades	lost.
H0010	אֲבַדֹּה	ʼăbaddôh	ab-ad-do'	n-f	heb	the same as 9, miswritten for 11;	a perishing	destruction.
H0011	אֲבַדּוֹן	ʼăbaddôwn	ab-ad-done'	n-pr-loc	heb	intensive from 6;	abstract, a perishing; concrete, Hades	destruction.
H0012	אַבְדָן	ʼabdân	ab-dawn'	n-m	heb	from 6;	a perishing	destruction.
H0013	אׇבְדַן	ʼobdan	ob-dawn'	n-m	heb	from 6;	a perishing	destruction.
H0014	אָבָה	ʼâbâh	aw-baw'	v	heb	a primitive root;	to breathe after, i.e. (figuratively) to be acquiescent	consent, rest content will, be willing.
H0015	אָבֶה	ʼâbeh	aw-beh'	n-f	heb	from 14;	longing	desire.
H0016	אֵבֶה	ʼêbeh	ay-beh'	n-m	heb	from 14 (in the sense of bending toward);	the papyrus	swift.
H0017	אֲבוֹי	ʼăbôwy	ab-o'ee	inj	heb	from 14 (in the sense of desiring);	want	sorrow.
H0018	אֵבוּס	ʼêbûwç	ay-booce'	n-m	heb	from 75;	a manger or stall	crib.
H0019	אִבְחָה	ʼibchâh	ib-khaw'	n-f	heb	from an unused root (apparently meaning to turn);	brandishing of a sword	point.
H0020	אֲבַטִּיחַ	ʼăbaṭṭîyach	ab-at-tee'-akh	n-m	heb	of uncertain derivation;	a melon (only plural)	melon.
H0021	אֲבִי	ʼĂbîy	ab-ee'	n-pr-f	x-pn	from 1; fatherly;	Abi, Hezekiah's mother	Abi.
H0022	אֲבִיאֵל	ʼĂbîyʼêl	ab-ee-ale'	n-pr-m	x-pn	from 1 and 410; father (i.e. possessor) of God;	Abiel, the name of two Israelites	Abiel.
H0023	אֲבִיאָסָף	ʼĂbîyʼâçâph	ab-ee-aw-sawf'	n-pr-m	x-pn	from 1 and 622; father of gathering (i.e. gatherer);	Abiasaph, an Israelite	Abiasaph.
H0024	אָבִיב	ʼâbîyb	aw-beeb'	n-m	heb	from an unused root (meaning to be tender);	green, i.e. a young ear of grain; hence, the name of the month Abib or Nisan	Abib, ear, green ears of corn (not maize).
H0025	אֲבִי גִבְעוֹן	ʼĂbîy Gibʻôwn	ab-ee' ghib-one'	n-pr-m	x-pn	from 1 and 1391; father (i.e. founder) of Gibon;	Abi-Gibon, perhaps an Israelite	father of Gibeon.
H0026	אֲבִיגַיִל	ʼĂbîygayil	ab-ee-gah'-yil	n-pr-f	x-pn	or shorter אֲבִיגַל; from 1 and 1524; father (i.e. source) of joy;	Abigail or Abigal, the name of two Israelitesses	Abigal.
H0027	אֲבִידָן	ʼĂbîydân	ab-ee-dawn'	n-pr-m	x-pn	from 1 and 1777; father of judgment (i.e. judge);	Abidan, an Israelite	Abidan.
H0028	אֲבִידָע	ʼĂbîydâʻ	ab-ee-daw'	n-pr-m	x-pn	from 1 and 3045; father of knowledge (i.e. knowing);	Abida, a son of Abraham by Keturah	Abida, Abidah.
H0029	אֲבִיָּה	ʼĂbîyâh	ab-ee-yaw'	n-pr-m	x-pn	or prolonged אֲבִיָּהוּ ; from 1 and 3050; father (i.e. worshipper) of Jah;	Abijah, the name of several Israelite men and two Israelitesses	Abiah, Abijah.
H0030	אֲבִיהוּא	ʼĂbîyhûwʼ	ab-ee-hoo'	n-pr-m	x-pn	from 1 and 1931; father (i.e. worshipper) of Him (i.e. God);	Abihu, a son of Aaron	Abihu.
H0031	אֲבִיהוּד	ʼĂbîyhûwd	ab-ee-hood'	n-pr-m	x-pn	from 1 and 1935; father (i.e. possessor) of renown;	Abihud, the name of two Israelites	Abihud.
H0032	אֲבִיהַיִל	ʼĂbîyhayil	ab-ee-hah'-yil	n-pr-m	x-pn	or (more correctly) אֲבִיחַיִל ; from 1 and 2428; father (i.e. possessor) of might;	Abihail or Abichail, the name of three Israelites and two Israelitesses	Abihail.
H0033	אֲבִי הָעֶזְרִי	ʼĂbîy hâ-ʻEzrîy	ab-ee'-haw-ez-ree'	n-pr-m	x-pn	from 44 with the article inserted; father of the Ezrite;	an Abiezrite or descendant of Abiezer	Abiezrite.
H0034	אֶבְיוֹן	ʼebyôwn	eb-yone'	a-m	heb	from 14, in the sense of want (especially in feeling);	destitute	beggar, needy, poor (man).
H0035	אֲבִיּוֹנָה	ʼăbîyôwnâh	ab-ee-yo-naw'	n-f	heb	from 14;	provocative of desire; the caper berry (from its stimulative taste)	desire.
H0036	אֲבִיטוּב	ʼĂbîyṭûwb	ab-ee-toob'	n-pr-m	x-pn	from 1 and 2898; father of goodness (i.e. good);	Abitub, an Israelite	Abitub.
H0037	אֲבִיטָל	ʼĂbîyṭâl	ab-ee-tal'	n-pr-f	x-pn	from 1 and 2919; father of dew (i.e. fresh);	Abital, a wife of King David	Abital.
H0038	אֲבִיָּם	ʼĂbîyâm	ab-ee-yawm'	n-pr-m	x-pn	from 1 and 3220; father of (the) sea (i.e. seaman);	Abijam (or Abijah), a king of Judah	Abijam.
H0039	אֲבִימָאֵל	ʼĂbîymâʼêl	ab-ee-maw-ale'	n-pr-m	x-pn	from 1 and an elsewhere unused (probably foreign) word; father of Mael (apparently some Arab tribe);	Abimael, a son of Joktan	Abimael.
H0040	אֲבִימֶלֶךְ	ʼĂbîymelek	ab-ee-mel'-ek	n-pr-m	x-pn	from 1 and 4428; father of (the) king;	Abimelek, the name of two Philistine kings and of two Israelites	Abimelech.
H0041	אֲבִינָדָב	ʼĂbîynâdâb	ab-ee-naw-dawb'	n-pr-m	x-pn	from 1 and 5068; father of generosity (i.e. liberal);	Abinadab, the name of four Israelites	Abinadab.
H0042	אֲבִינֹעַם	ʼĂbîynôʻam	ab-ee-no'-am	n-pr-m	x-pn	from 1 and 5278; father of pleasantness (i.e. gracious);	Abinoam, an Israelite	Abinoam.
H0043	אֶבְיָסָף	ʼEbyâçâph	eb-yaw-sawf'	n-pr-m	x-pn	contracted from 23;	Ebjasaph, an Israelite	Ebiasaph.
H0044	אֲבִיעֶזֶר	ʼĂbîyʻezer	ab-ee-ay'-zer	n-pr-m	x-pn	from 1 and 5829; father of help (i.e. helpful);	Abiezer, the name of two Israelites	Abiezer.
H0045	אֲבִי־עַלְבוֹן	ʼĂbîy-ʻalbôwn	ab-ee-al-bone'	n-pr-m	x-pn	from 1 and an unused root of uncertain derivation; probably, father of strength (i.e. valiant);	Abialbon, an Israelite	Abialbon.
H0046	אָבִיר	ʼâbîyr	aw-beer'	a-m	heb	from 82;	mighty (spoken of God)	mighty (one).
H0047	אַבִּיר	ʼabbîyr	ab-beer'	a-m	heb	for 46		angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant.
H0048	אֲבִירָם	ʼĂbîyrâm	ab-ee-rawm'	n-pr-m	x-pn	from 1 and 7311; father of height (i.e. lofty);	Abiram, the name of two Israelites	Abiram.
H0049	אֲבִישַׁג	ʼĂbîyshag	ab-ee-shag'	n-pr-f	x-pn	from 1 and 7686; father of error (i.e. blundering);	Abishag, a concubine of David	Abishag.
H0050	אֲבִישׁוּעַ	ʼĂbîyshûwaʻ	ab-ee-shoo'-ah	n-pr-m	x-pn	from 1 and 7771; father of plenty (i.e. prosperous);	Abishua, the name of two Israelites	Abishua.
H0051	אֲבִישׁוּר	ʼĂbîyshûwr	ab-ee-shoor'	n-pr-m	x-pn	from 1 and 7791; father of (the) wall (i.e. perhaps mason);	Abishur, an Israelite	Abishur.
H0052	אֲבִישַׁי	ʼĂbîyshay	ab-ee-shah'ee	n-pr-m	x-pn	or (shorter) אַבְשַׁי ; from 1 and 7862; father of a gift (i.e. probably generous);	Abishai, an Israelite	Abishai.
H0053	אֲבִישָׁלוֹם	ʼĂbîyshâlôwm	ab-ee-shaw-lome'	n-pr-m	x-pn	or (shortened) אַבְשָׁלוֹם ; from 1 and 7965; father of peace (i.e. friendly);	Abshalom, a son of David; also (the fuller form) a later Israelite	Abishalom, Absalom.
H0054	אֶבְיָתָר	ʼEbyâthâr	ab-yaw-thawr'	n-pr-m	x-pn	contracted from 1 and 3498; father of abundance (i.e. liberal);	Ebjathar, an Israelite	Abiathar.
H0055	אָבַךְ	ʼâbak	aw-bak'	v	heb	a primitive root;	probably to coil upward	mount up.
H0056	אָבַל	ʼâbal	aw-bal'	v	heb	a primitive root;	to bewail	lament, mourn.
H0057	אָבֵל	ʼâbêl	aw-bale'	a	heb	from 56;	lamenting	mourn(-er, -ing).
H0058	אָבֵל	ʼâbêl	aw-bale'	n-f	heb	from an unused root (meaning to be grassy);	a meadow	plain. Compare also the proper names beginning with Abel-.
H0059	אָבֵל	ʼÂbêl	aw-bale'	n-pr-loc	x-pn	from 58; a meadow;	Abel, the name of two places in Palestine.	Abel.
H0060	אֵבֶל	ʼêbel	ay'-bel	n-m	heb	from 56;	lamentation	mourning.
H0061	אֲבָל	ʼăbâl	ab-awl'	adv	heb	apparently from 56 through the idea of negation;	nay, i.e. truly or yet	but, indeed, nevertheless, verily.
H0062	אָבֵל בֵּית־מֲעַכָה	ʼÂbêl Bêyth-Măʻakâh	aw-bale' bayth ma-akaw'	n-pr-loc	x-pn	from 58 and 1004 and 4601; meadow of Beth-Maakah;	Abel of Beth-maakah, a place in Palestine	Abel-beth-maachah, Abel of Beth-maachah,
H0063	אָבֵל הַשִּׁטִּים	ʼÂbêl hash-Shiṭṭîym	aw-bale' hash-shit-teem'	n-pr-loc	x-pn	from 58 and the plural of 7848, with the article inserted; meadow of the acacias;	Abel hash-Shittim, a place in Palestine	Abelshittim.
H0064	אָבֵל כְּרָמִים	ʼÂbêl Kᵉrâmîym	aw-bale' ker-aw-meem'	n-pr-loc	x-pn	from 58 and the plural of 3754; meadow of vineyards;	Abel-Keramim, a place in Palestine	plain of the vineyards.
H0065	אָבֵל מְחוֹלָה	ʼÂbêl Mᵉchôwlâh	aw-bale' mekh-o-law'	n-pr-loc	x-pn	from 58 and 4246; meadow of dancing;	Abel-Mecholah, a place in Palestine	Abel-meholah.
H0066	אַבֵל מַיִם	ʼAbêl Mayim	aw-bale' mah'-yim	n-pr-loc	x-pn	from 58 and 4325; meadow of water;	Abel-Majim, a place in Palestine	Abel-maim.
H0067	אָבֵל מִצְרַיִם	ʼÂbêl Mitsrayim	aw-bale' mits-rah'-yim	n-pr-loc	x-pn	from 58 and 4714; meadow of Egypt;	Abel-Mitsrajim, a place in Palestine	Abel-mizraim.
H0068	אֶבֶן	ʼeben	eh'-ben	n-f	heb	from the root of 1129 through the meaning to build;	a stone	carbuncle, mason, plummet, (chalk-, hail-, head-, sling-) stone(-ny), (divers) weight(-s).
H0069	אֶבֶן	ʼeben	eh'-ben	n-f	arc	(Aramaic) corresponding to 68		stone.
H0070	אֹבֶן	ʼôben	o' ben	n-m	heb	from the same as 68;	a pair of stones (only dual); a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between)	wheel, stool.
H0071	אֲבָנָה	ʼĂbânâh	ab-aw-naw'	n	x-pn	perhaps feminine of 68; stony; Compare 549.	Abanah, a river near Damascus	Abana.
H0072	אֶבֶן הָעֵזֶר	ʼEben hâ-ʻÊzer	eh'-ben haw-e'-zer	n	x-pn	from 68 and 5828 with the article inserted; stone of the help;	Eben-ha-Ezer, a place in Palestine	Ebenezer.
H0073	אַבְנֵט	ʼabnêṭ	ab-nate'	n-m	heb	of uncertain derivation;	a belt	girdle.
H0074	אַבְנֵר	ʼAbnêr	ab-nare'	n-pr-m	x-pn	or (fully) אֲבִינֵר ; from 1 and 5216; father of light (i.e. enlightening);	Abner, an Israelite	Abner.
H0075	אָבַס	ʼâbaç	aw-bas'	v	heb	a primitive root;	to fodder	fatted, stalled.
H0076	אֲבַעְבֻּעָה	ʼăbaʻbuʻâh	ab-ah-boo-aw'	n-f	heb	(by reduplication) from an unused root (meaning to belch forth);	an inflammatory pustule (as eruption)	blains.
H0077	אֶבֶץ	ʼEbets	eh'-bets	n-pr-loc	x-pn	from an unused root probably meaning to gleam; conspicuous;	Ebets, a place in Palestine	Abez.
H0078	אִבְצָן	ʼIbtsân	ib-tsawn'	n-pr-m	x-pn	from the same as 76; splendid;	Ibtsan, an Israelite	Ibzan.
H0079	אָבַק	ʼâbaq	aw-bak'	v	heb	a primitive root, probably to float away (as vapor), but used only as denominative from 80;	to bedust, i.e. grapple	wrestle.
H0080	אָבָק	ʼâbâq	aw-bawk'	n-m	heb	from root of 79;	light particles (as volatile)	(small) dust, powder.
H0081	אֲבָקָה	ʼăbâqâh	ab-aw-kaw'	n-f	heb	feminine of 80		powder.
H0082	אָבַר	ʼâbar	aw-bar'	v	heb	a primitive root;	to soar	fly.
H0083	אֵבֶר	ʼêber	ay-ber'	n-m	heb	from 82;	a pinion	(long-) wing(-ed).
H0084	אֶבְרָה	ʼebrâh	eb-raw'	n-f	heb	feminine of 83		feather, wing.
H0085	אַבְרָהָם	ʼAbrâhâm	ab-raw-hawm'	n-pr-m	x-pn	contracted from 1 and an unused root (probably meaning to be populous); father of a multitude;	Abraham, the later name of Abram	Abraham.
H0086	אַבְרֵךְ	ʼabrêk	ab-rake'	v	heb	probably an Egyptian word meaning	kneel	bow the knee.
H0087	אַבְרָם	ʼAbrâm	ab-rawm'	n-pr-m	x-pn	contracted from 48; high father;	Abram, the original name of Abraham	Abram.
H0088	אֹבֹת	ʼôbôth	o-both'	n-pr-loc	x-pn	plural of 178; water-skins;	Oboth, a place in the Desert	Oboth.
H0089	אָגֵא	ʼÂgêʼ	aw-gay'	n-pr-m	x-pn	of uncertain derivation (compare 90);	Age, an Israelite	Agee.
H0090	אֲגַג	ʼĂgag	ag-ag'	n-pr-m	x-pn	or אֲגָג; of uncertain derivation (compare 89); flame;	Agag, a title of Amalekitish kings	Agag.
H0091	אֲגָגִי	ʼĂgâgîy	ag-aw-ghee'	a	x-pn	patrial or patronymic from 90;	an Agagite or descendent (subject) of Agag	Agagite.
H0092	אֲגֻדָּה	ʼăguddâh	ag-ood-daw'	n-f	heb	feminine passive participle of an unused root (meaning to bind);	a band, bundle, knot, or arch	bunch, burden, troop.
H0093	אֱגוֹז	ʼĕgôwz	eg-oze'	n-m	heb	prob of Persian origin;	a nut	nut.
H0094	אָגוּר	ʼÂgûwr	aw-goor'	n-pr-m	x-pn	passive participle of 103; gathered (i.e. received among the sages);	Agur, a fanciful name for Solomon	Agur.
H0095	אֲגוֹרָה	ʼăgôwrâh	ag-o-raw'	n-f	heb	from the same as 94;	properly, something gathered, i.e. perhaps a grain or berry; used only of a small (silver) coin	piece (of) silver.
H0096	אֶגֶל	ʼegel	eh'-ghel	n-m	heb	from an unused root (meaning to flow down or together as drops);	a reservoir	drop.
H0097	אֶגְלַיִם	ʼEglayim	eg-lah'-yim	n-pr-loc	x-pn	dual of 96.; a double pond;	Eglajim, a place in Moab	Eglaim.
H0098	אֲגַם	ʼăgam	ag-am'	n-m	heb	from an unused root (meaning to collect as water);	a marsh; hence a rush (as growing in swamps); hence a stockade of reeds	pond, pool, standing (water).
H0099	אָגֵם	ʼâgêm	aw-game'	a	heb	probably from the same as 98 (in the sense of stagnant water);	figuratively, sad	pond.
H0100	אַגְמוֹן	ʼagmôwn	ag-mone'	n-m	heb	from the same as 98; a marshy pool (others from a different root, a kettle); by implication	a rush (as growing there); collectively a rope of rushes	bulrush, caldron, hook, rush.
H0101	אַגָּן	ʼaggân	ag-gawn'	n-m	heb	probably from 5059;	a bowl (as pounded out hollow)	basin, cup, goblet.
H0102	אַגָּף	ʼaggâph	ag-gawf'	n-m	heb	probably from 5062 (through the idea of impending); a cover or heap; i.e.	(only plural) wings of an army, or crowds of troops	bands.
H0103	אָגַר	ʼâgar	aw-gar'	v	heb	a primitive root;	to harvest	gather.
H0104	אִגְּרָא	ʼiggᵉrâʼ	ig-er-aw'	n-f	arc	(Aramaic) of Persian origin;	an epistle (as carried by a state courier or postman)	letter.
H0105	אֲגַרְטָל	ʼăgarṭâl	ag-ar-tawl'	n-m	heb	of uncertain derivation;	a basin	charger.
H0106	אֶגְרֹף	ʼegrôph	eg-rofe'	n-m	heb	from 1640 (in the sense of grasping);	the clenched hand	fist.
H0107	אִגֶּרֶת	ʼiggereth	ig-eh'-reth	n-f	heb	feminine of 104;	an epistle	letter.
H0108	אֵד	ʼêd	ade	n-m	heb	from the same as 181 (in the sense of enveloping);	a fog	mist, vapor.
H0109	אָדַב	ʼâdab	aw-dab'	v	heb	a primitive root;	to languish	grieve.
H0110	אַדְבְּאֵל	ʼAdbᵉʼêl	ad-beh-ale'	n-pr-m	x-pn	probably from 109 (in the sense of chastisement) and 410; disciplined of God;	Adbeel, a son of Ishmael	Adbeel.
H0111	אֲדַד	ʼĂdad	ad-ad'	n-pr-m	x-pn	probably an orthographical variation for 2301;	Adad (or Hadad), an Edomite	Hadad.
H0112	אִדּוֹ	ʼIddôw	id-do	n-pr-m	x-pn	of uncertain derivation;	Iddo, an Israelite	Iddo.
H0113	אָדוֹן	ʼâdôwn	aw-done'	n-m	heb	or (shortened) אָדֹן; from an unused root (meaning to rule);	sovereign, i.e. controller (human or divine)	lord, master, owner. Compare also names beginning with 'Adoni-'.
H0114	אַדּוֹן	ʼAddôwn	ad-done'	a	x-pn	probably intensive for 113; powerful;	Addon, apparently an Israelite	Addon.
H0115	אֲדוֹרַיִם	ʼĂdôwrayim	ad-o-rah'-yim	n-pr-loc	x-pn	dual from 142 (in the sense of eminence); double mound;	Adorajim, a place in Palestine	Adoraim.
H0116	אֱדַיִן	ʼĕdayin	ed-ah'-yin	adv	arc	(Aramaic) of uncertain derivation;	then (of time)	now, that time, then.
H0117	אַדִּיר	ʼaddîyr	ad-deer'	a	heb	from 142;	wide or (generally) large; figuratively, powerful	excellent, famous, gallant, glorious, goodly, lordly, mighty(-ier one), noble, principal, worthy.
H0118	אֲדַלְיָא	ʼĂdalyâʼ	ad-al-yaw'	n-pr-m	x-pn	of Persian derivation;	Adalja, a son of Haman	Adalia.
H0119	אָדַם	ʼâdam	aw-dam'	v	heb		to show blood (in the face), i.e. flush or turn rosy	be (dyed, made) red (ruddy).
H0120	אָדָם	ʼâdâm	aw-dawm'	n-m	heb	from 119;	ruddy i.e. a human being (an individual or the species, mankind, etc.)	× another, hypocrite, common sort, × low, man (mean, of low degree), person.
H0121	אָדָם	ʼÂdâm	aw-dawm'	n-pr-m	x-pn	the same as 120;	Adam the name of the first man, also of a place in Palestine	Adam.
H0122	אָדֹם	ʼâdôm	aw-dome'	a n-m	heb	from 119;	rosy	red, ruddy.
H0123	אֱדֹם	ʼĔdôm	ed-ome'	n-pr-m	x-pn	or (fully) אֱדוֹם ; from 122; red (see Genesis 25:25);	Edom, the elder twin-brother of Jacob; hence the region (Idumaea) occupied by him	Edom, Edomites, Idumea.
H0124	אֹדֶם	ʼôdem	o'-dem	n-f	heb	from 119;	redness, i.e. the ruby, garnet, or some other red gem	sardius.
H0125	אֲדַמְדָּם	ʼădamdâm	ad-am-dawm'	a	heb	reduplicated from 119;	reddish	(somewhat) reddish.
H0126	אַדְמָה	ʼAdmâh	ad-maw'	n-pr-loc	x-pn	contracted for 127; earthy;	Admah, a place near the Dead Sea	Admah.
H0127	אֲדָמָה	ʼădâmâh	ad-aw-maw'	n-f	heb	from 119;	soil (from its general redness)	country, earth, ground, husband(-man) (-ry), land.
H0128	אֲדָמָה	ʼĂdâmâh	ad-aw-maw'	n-pr-loc	x-pn	the same as 127;	Adamah, a place in Palestine	Adamah.
H0129	אֲדָמִי	ʼĂdâmîy	ad-aw-mee'	n-pr-loc	x-pn	from 127; earthy;	Adami, a place in Palestine	Adami.
H0130	אֱדֹמִי	ʼĔdômîy	ed-o-mee'	a	x-pn	or (fully) אֱדוֹמִי ; patronymic from 123; See 726.	an Edomite, or descendants from (or inhabitants of) Edom	Edomite.
H0131	אֲדֻמִּים	ʼĂdummîym	ad-oom-meem'	n-pr-loc	x-pn	plural of 121; red spots;	Adummim, a pass in Palestine	Adummim.
H0132	אַדְמֹנִי	ʼadmônîy	ad-mo-nee'	a	heb	or (fully) אַדְמוֹנִי ; from 119;	reddish (of the hair or the complexion)	red, ruddy.
H0133	אַדְמָתָא	ʼAdmâthâʼ	ad-maw-thaw'	n-pr-m	x-pn	probably of Persian derivation;	Admatha, a Persian nobleman	Admatha.
H0134	אֶדֶן	ʼeden	eh'-den	n-m	heb	from the same as 113 (in the sense of strength);	a basis (of a building, a column, etc.)	foundation, socket.
H0135	אַדָּן	ʼAddân	ad-dawn'	n-pr-loc	x-pn	intensive from the same as 134; firm;	Addan, an Israelite	Addan.
H0136	אֲדֹנָי	ʼĂdônây	ad-o-noy'	n-m	heb	an emphatic form of 113;	the Lord (used as a proper name of God only)	(my) Lord.
H0137	אֲדֹנִי־בֶזֶק	ʼĂdônîy-Bezeq	ad-o''-nee-beh'-zek	n-pr-m	x-pn	from 113 and 966; lord of Bezek;	Adoni-Bezek; a Canaanitish king	Adonibezek.
H0138	אֲדֹנִיָּה	ʼĂdônîyâh	ad-o-nee-yaw'	n-pr-m	x-pn	original (prolonged) אֲדֹנִיָּהוּ ; from 113 and 3050; lord (i.e. worshipper) of Jah;	Adonijah, the name of three Israelites	Adonijah.
H0139	אֲדֹנִי־צֶדֶק	ʼĂdônîy-Tsedeq	ad-o''-nee-tseh'-dek	n-pr-m	x-pn	from 113 and 6664; lord of justice;	Adoni-Tsedek, a Canaanitish king	Adonizedec.
H0140	אֲדֹנִיקָם	ʼĂdônîyqâm	ad-o-nee-kawm'	n-pr-m	x-pn	from 113 and 6965; lord of rising (i.e. high);	Adonikam, the name of one or two Israelites	Adonikam.
H0141	אֲדֹנִירָם	ʼĂdônîyrâm	ad-o-nee-rawm'	n-pr-m	x-pn	from 113 and 7311; lord of height;	Adoniram, an Israelite	Adoniram.
H0142	אָדַר	ʼâdar	aw-dar'	v	heb	a primitive root;	to expand, i.e. be great or (figuratively) magnificent	(become) glorious, honourable.
H0143	אֲדָר	ʼĂdâr	ad-awr'	n	x-pn	probably of foreign derivation; perhaps meaning fire;	Adar, the 12th Hebrew month	Adar.
H0144	אֲדָר	ʼĂdâr	ad-awr'	n	arc	(Aramaic) corresponding to 143		Adar.
H0145	אֶדֶר	ʼeder	eh'-der	n	heb	from 142;	amplitude, i.e. (concrete) a mantle; also (figuratively) splendor	goodly, robe.
H0146	אַדָּר	ʼAddâr	ad-dawr'	n-pr-m	x-pn	intensive from 142; ample;	Addar, a place in Palestine; also an Israelite	Addar.
H0147	אִדַּר	ʼiddar	id-dar'	n-f	arc	(Aramaic) intensive, from a root corresponding to 142;	ample, i.e. a threshing-floor	threshingfloor.
H0148	אֲדַרְגָּזֵר	ʼădargâzêr	ad-ar''-gaw-zare'	n-m	arc	(Aramaic) from the same as 147, and 1505;	a chief diviner, or astrologer	judge.
H0149	אַדְרַזְדָּא	ʼadrazdâʼ	ad-raz-daw'	adv	arc	(Aramaic) probably of Persian origin;	quickly or carefully	diligently.
H0150	אֲדַרְכֹּן	ʼădarkôn	ad-ar-kone'	n-m	heb	of Persian origin;	a daric or Persian coin	dram.
H0151	אֲדֹרָם	ʼĂdôrâm	ad-o-rawm'	n-pr-m	x-pn	contracted for 141;	Adoram (or Adoniram), an Israelite	Adoram.
H0152	אֲדְרַמֶּלֶךְ	ʼĂdrammelek	ad-ram-meh'-lek	n-pr-m	x-pn	from 142 and 4428; splendor of (the) king;	Adrammelek, the name of an Assyrian idol, also of a son of Sennacherib	Adrammelech.
H0153	אֶדְרָע	ʼedrâʻ	ed-raw'	n-f	arc	(Aramaic) an orthographical variation for 1872;	an arm, i.e. (figuratively) power	force.
H0154	אֶדְרֶעִי	ʼedreʻîy	ed-reh'-ee	n-pr-loc	x-pn	from the equivalent of 153; mighty;	Edrei, the name of two places in Palestine	Edrei.
H0155	אַדֶּרֶת	ʼaddereth	ad-deh'-reth	n-f	heb	feminine of 117; ; also the same as 145	something ample (as a large vine, a wide dress)	garment, glory, goodly, mantle, robe.
H0156	אָדַשׁ	ʼâdash	aw-dash'	v	heb	a primitive root;	to tread out (grain)	thresh.
H0157	אָהַב	ʼâhab	aw-hab'	v	heb	or אָהֵב ; a primitive root;	to have affection for (sexually or otherwise)	(be-) love(-d, -ly, -r), like, friend.
H0158	אַהַב	ʼahab	ah'-hab	n-m	heb	from 157;	affection (in a good or a bad sense)	love(-r).
H0159	אֹהַב	ʼôhab	o'-hab	n-m	heb	from 156; meaning the same as 158		love.
H0160	אַהֲבָה	ʼahăbâh	a-hab-aw	n-f	heb	feminine of 158 and meaning the same		love.
H0161	אֹהַד	ʼÔhad	o'-had	n-pr-m	x-pn	from an unused root meaning to be united; unity;	Ohad, an Israelite	Ohad.
H0162	אֲהָהּ	ʼăhâhh	a-haw'	inj	heb	apparently a primitive word expressing pain exclamatorily;	Oh!	ah, alas.
H0163	אַהֲוָא	ʼAhăvâʼ	a-hav-aw'	n-pr-loc	x-pn	probably of foreign origin;	Ahava, a river of Babylonia	Ahava.
H0164	אֵהוּד	ʼÊhûwd	ay-hood'	n-pr-m	x-pn	from the same as 161; united;	Ehud, the name of two or three Israelites	Ehud.
H0165	אֱהִי	ʼĕhîy	e-hee'	adv	heb	apparently an orthographical variation for 346;	where	I will be (Hosea 13:10,14) (which is often the rendering of the same Hebrew form from 1961).
H0166	אָהַל	ʼâhal	aw-hal'	v	heb	a primitive root;	to be clear	shine.
H0167	אָהַל	ʼâhal	aw-hal'	v	heb	a denominative from 168;	to tent	pitch (remove) a tent.
H0168	אֹהֶל	ʼôhel	o'-hel	n-m	heb	from 166;	a tent (as clearly conspicuous from a distance)	covering, (dwelling) (place), home, tabernacle, tent.
H0169	אֹהֶל	ʼÔhel	o'-hel	n-pr-m	x-pn	the same as 168;	Ohel, an Israelite	Ohel.
H0170	אׇהֳלָה	ʼOhŏlâh	o-hol-aw'	n-pr-f	x-pn	in form a feminine of 168, but in fact for אׇהֳלָהּ; from 168; her tent (i.e. idolatrous sanctuary);	Oholah, a symbolic name for Samaria	Aholah.
H0171	אׇהֳלִיאָב	ʼOhŏlîyʼâb	o''-hol-e-awb'	n-pr-m	x-pn	from 168 and 1; tent of (his) father;	Oholiab, an Israelite	Aholiab.
H0172	אׇהֳלִיבָה	ʼOhŏlîybâh	o''-hol-ee-baw'	n-pr-f	x-pn	(similarly with 170) for אׇהֳלִיבָהּ ; from 168; my tent (is) in her;	Oholibah, a symbolic name for Judah	Aholibah.
H0173	אׇהֳלִיבָמָה	ʼOhŏlîybâmâh	o''-hol-ee-baw-maw'	n	x-pn	from 168 and 1116; tent of (the) height;	Oholibamah, a wife of Esau	Aholibamah.
