strongs	word	transliteration	derivation	definition	kjv_usage
G2822	κλητός	klētós	from the same as G2821 (κλῆσις);	invited, i.e. appointed, or (specially), a saint	called
G2823	κλίβανος	klíbanos	of uncertain derivation;	an earthen pot used for baking in	oven
G2824	κλίμα	klíma	from G2827 (κλίνω);	a slope, i.e. (specially) a "clime" or tract of country	part, region
G2825	κλίνη	klínē	from G2827 (κλίνω);	a couch (for sleep, sickness, sitting or eating)	bed, table
G2826	κλινίδιον	klinídion	neuter of a presumed derivative of G2825 (κλίνη);	a pallet or little couch	bed
G2827	κλίνω	klínō	a primary verb;	to slant or slope, i.e. incline or recline (literally or figuratively)	bow (down), be far spent, lay, turn to flight, wear away
G2828	κλισία	klisía	from a derivative of G2827 (κλίνω);	properly, reclination, i.e. (concretely and specially), a party at a meal	company
G2829	κλοπή	klopḗ	from G2813 (κλέπτω);	stealing	theft
G2830	κλύδων	klýdōn	from (to billow or dash over);	a surge of the sea (literally or figuratively)	raging, wave
G2831	κλυδωνίζομαι	klydōnízomai	middle voice from G2830 (κλύδων);	to surge, i.e. (figuratively) to fluctuate	toss to and fro
G2832	Κλωπᾶς	Klōpâs	of Chaldee origin (corresponding to H0256);	Clopas, an Israelite	Cleophas
G2833	κνήθω	knḗthō	from a primary (to scrape);	to scratch, i.e. (by implication) to tickle	X itching
G2834	Κνίδος	Knídos	probably of foreign origin;	Cnidus, a place in Asia Minor	Cnidus
G2835	κοδράντης	kodrántēs	of Latin origin;	a quadrans, i.e. the fourth part of an as	farthing
G2836	κοιλία	koilía	from ("hollow");	a cavity, i.e. (especially) the abdomen; by implication, the matrix; figuratively, the heart	belly, womb
G2837	κοιμάω	koimáō	from G2749 (κεῖμαι);	to put to sleep, i.e. (passively or reflexively) to slumber; figuratively, to decease	(be a-, fall a-, fall on) sleep, be dead
G2838	κοίμησις	koímēsis	from G2837 (κοιμάω);	sleeping, i.e. (by implication) repose	taking of rest
G2839	κοινός	koinós	probably from G4862 (σύν);	common, i.e. (literally) shared by all or several, or (ceremonially) profane	common, defiled, unclean, unholy
G2840	κοινόω	koinóō	from G2839 (κοινός);	to make (or consider) profane (ceremonially)	call common, defile, pollute, unclean
G2841	κοινωνέω	koinōnéō	from G2844 (κοινωνός);	to share with others (objectively or subjectively)	communicate, distribute, be partaker
G2842	κοινωνία	koinōnía	from G2844 (κοινωνός);	partnership, i.e. (literally) participation, or (social) intercourse, or (pecuniary) benefaction	(to) communicate(-ation), communion, (contri-)distribution, fellowship
G2843	κοινωνικός	koinōnikós	from G2844 (κοινωνός);	communicative, i.e. (pecuniarily) liberal	willing to communicate
G2844	κοινωνός	koinōnós	from G2839 (κοινός);	a sharer, i.e. associate	companion, X fellowship, partaker, partner
G2845	κοίτη	koítē	from G2749 (κεῖμαι);	a couch; by extension, cohabitation; by implication, the male sperm	bed, chambering, X conceive
G2846	κοιτών	koitṓn	from G2845 (κοίτη);	a bedroom	+ chamberlain
G2847	κόκκινος	kókkinos	from G2848 (κόκκος) (from the kernel-shape of the insect);	crimson-colored	scarlet (colour, coloured)
G2848	κόκκος	kókkos	apparently a primary word;	a kernel of seed	corn, grain
G2849	κολάζω	kolázō	from (dwarf);	properly, to curtail, i.e. (figuratively) to chastise (or reserve for infliction)	punish
G2850	κολακεία	kolakeía	from a derivative of (a fawner);	flattery	X flattering
G2851	κόλασις	kólasis	from G2849 (κολάζω);	penal infliction	punishment, torment
G2852	κολαφίζω	kolaphízō	from a derivative of the base of G2849 (κολάζω);	to rap with the fist	buffet
G2853	κολλάω	kolláō	from ("glue");	to glue, i.e. (passively or reflexively) to stick (figuratively)	cleave, join (self), keep company
