strongs	word	transliteration	derivation	definition	kjv_usage
G0001	Α	A	of Hebrew origin;	the first letter of the alphabet; figuratively, only (from its use as a numeral) the first:	--Alpha
G0002	Ἀαρών	Aarṓn	of Hebrew origin (H0175);	Aaron, the brother of Moses	Aaron
G0003	Ἀβαδδών	Abaddṓn	of Hebrew origin (H011);	a destroying angel	Abaddon
G0004	ἀβαρής	abarḗs	from G1 (Α) (as a negative particle) and G922 (βάρος);	weightless, i.e. (figuratively) not burdensome	from being burdensome
G0005	Ἀββᾶ	Abbâ	of Chaldee origin (H02);	father as a vocative	Abba
G0006	Ἄβελ	Ábel	of Hebrew origin (H01893);	Abel, the son of Adam	Abel
G0007	Ἀβιά	Abiá	of Hebrew origin (H029);	Abijah, the name of two Israelites	Abia
G0008	Ἀβιαθάρ	Abiathár	of Hebrew origin (H054);	Abiathar, an Israelite	Abiathar
G0009	Ἀβιληνή	Abilēnḗ	of foreign origin (compare H058);	Abilene, a region of Syria	Abilene
G0010	Ἀβιούδ	Abioúd	of Hebrew origin (H031);	Abihud, an Israelite	Abiud
G0011	Ἀβραάμ	Abraám	of Hebrew origin (H085);	Abraham, the Hebrew patriarch	Abraham
G0012	ἄβυσσος	ábyssos	from G1 (Α) (as a negative particle) and a variation of G1037 (βυθός);	depthless, i.e. (specially) (infernal) "abyss"	deep, (bottomless) pit
G0013	Ἄγαβος	Ágabos	of Hebrew origin (compare H02285);	Agabus, an Israelite	Agabus
G0014	ἀγαθοεργέω	agathoergéō	from G18 (ἀγαθός) and G2041 (ἔργον);	to work good	do good
G0015	ἀγαθοποιέω	agathopoiéō	from G17 (ἀγαθοποιός);	to be a well-doer (as a favor or a duty)	(when) do good (well)
G0016	ἀγαθοποιΐα	agathopoiḯa	from G17 (ἀγαθοποιός);	well-doing, i.e. virtue	well-doing
G0017	ἀγαθοποιός	agathopoiós	from G18 (ἀγαθός) and G4160 (ποιέω);	a well-doer, i.e. virtuous	them that do well
G0018	ἀγαθός	agathós	a primary word;	"good" (in any sense, often as noun)	benefit, good(-s, things), well
G0019	ἀγαθωσύνη	agathōsýnē	from G18 (ἀγαθός);	goodness, i.e. virtue or beneficence	goodness
G0020	ἀγαλλίασις	agallíasis	from G21 (ἀγαλλιάω);	exultation; specially, welcome	gladness, (exceeding) joy
G0021	ἀγαλλιάω	agalliáō	from agan (much) and G242 (ἅλλομαι);	properly, to jump for joy, i.e. exult	be (exceeding) glad, with exceeding joy, rejoice (greatly)
G0022	ἄγαμος	ágamos	from G1 (Α) (as a negative particle) and G1062 (γάμος);	unmarried	unmarried
G0023	ἀγανακτέω	aganaktéō	from (much) and (grief;	akin to the base of G43 (ἀγκάλη)); to be greatly afflicted, i.e. (figuratively) indignant	be much (sore) displeased, have (be moved with, with) indignation
G0024	ἀγανάκτησις	aganáktēsis	from G23 (ἀγανακτέω);	indignation	indignation
G0025	ἀγαπάω	agapáō	perhaps from (much) (or compare G5689);	to love (in a social or moral sense)	(be-)love(-ed)
G0026	ἀγάπη	agápē	from G25 (ἀγαπάω);	love, i.e. affection or benevolence; specially (plural) a love-feast	(feast of) charity(-ably), dear, love
G0027	ἀγαπητός	agapētós	from G25 (ἀγαπάω);	beloved	(dearly, well) beloved, dear
G0028	Ἄγαρ	Ágar	of Hebrew origin (H01904);	Hagar, the concubine of Abraham	Hagar
G0029	ἀγγαρεύω	angareúō	of foreign origin (compare H0104);	properly, to be a courier, i.e. (by implication) to press into public service	compel (to go)
G0030	ἀγγεῖον	angeîon	from (a pail, perhaps as bent;	compare the base of G43 (ἀγκάλη)); a receptacle	vessel
G0031	ἀγγελία	angelía	from G32 (ἄγγελος);	an announcement, i.e. (by implication) precept	message
G0032	ἄγγελος	ángelos	from (probably derived from G71 (ἄγω);	compare G34 (ἀγέλη)) (to bring tidings); a messenger; especially an "angel"; by implication, a pastor	angel, messenger
G0033	ἄγε	áge	imperative of G71 (ἄγω);	properly, lead, i.e. come on	go to
G0034	ἀγέλη	agélē	from G71 (ἄγω) (compare G32 (ἄγγελος));	a drove	herd
G0035	ἀγενεαλόγητος	agenealógētos	from G1 (Α) (as negative particle) and G1075 (γενεαλογέω);	unregistered as to birth	without descent
G0036	ἀγενής	agenḗs	from G1 (Α) (as negative particle) and G1085 (γένος);	properly, without kin, i.e. (of unknown descent, and by implication) ignoble	base things
G0037	ἁγιάζω	hagiázō	from G40 (ἅγιος);	to make holy, i.e. (ceremonially) purify or consecrate; (mentally) to venerate	hallow, be holy, sanctify
G0038	ἁγιασμός	hagiasmós	from G37 (ἁγιάζω);	properly, purification, i.e. (the state) purity; concretely (by Hebraism) a purifier	holiness, sanctification
G0039	ἅγιον	hágion	neuter of G40 (ἅγιος);	a sacred thing (i.e. spot)	holiest (of all), holy place, sanctuary
G0040	ἅγιος	hágios	from (an awful thing) (compare G53 (ἁγνός), G2282 (θάλπω));	sacred (physically, pure, morally blameless or religious, ceremonially, consecrated)	(most) holy (one, thing), saint
G0041	ἁγιότης	hagiótēs	from G40 (ἅγιος);	sanctity (i.e. properly, the state)	holiness
G0042	ἁγιωσύνη	hagiōsýnē	from G40 (ἅγιος);	sacredness (i.e. properly, the quality)	holiness
G0043	ἀγκάλη	ankálē	from (a bend, "ache");	an arm (as curved)	arm
G0044	ἄγκιστρον	ánkistron	from the same as G43 (ἀγκάλη);	a hook (as bent)	hook
G0045	ἄγκυρα	ánkyra	from the same as G43 (ἀγκάλη);	an "anchor" (as crooked)	anchor
G0046	ἄγναφος	ágnaphos	from G1 (Α) (as a negative particle) and the same as G1102 (γναφεύς);	properly, unfulled, i.e. (by implication) new (cloth)	new
G0047	ἁγνεία	hagneía	from G53 (ἁγνός);	cleanliness (the quality), i.e. (specially) chastity	purity
G0048	ἁγνίζω	hagnízō	from G53 (ἁγνός);	to make clean, i.e. (figuratively) sanctify (ceremonially or morally)	purify (self)
G0049	ἁγνισμός	hagnismós	from G48 (ἁγνίζω);	a cleansing (the act), i.e. (ceremonially) lustration	purification
G0050	ἀγνοέω	agnoéō	from G1 (Α) (as a negative particle) and G3539 (νοιέω);	not to know (through lack of information or intelligence); by implication, to ignore (through disinclination)	(be) ignorant(-ly), not know, not understand, unknown
G0051	ἀγνόημα	agnóēma	from G50 (ἀγνοέω);	a thing ignored, i.e. shortcoming	error
G0052	ἄγνοια	ágnoia	from G50 (ἀγνοέω);	ignorance (properly, the quality)	ignorance
G0053	ἁγνός	hagnós	from the same as G40 (ἅγιος);	properly, clean, i.e. (figuratively) innocent, modest, perfect	chaste, clean, pure
G0054	ἁγνότης	hagnótēs	from G53 (ἁγνός);	cleanness (the state), i.e. (figuratively) blamelessness	pureness
G0055	ἁγνῶς	hagnōs	adverb from G53 (ἁγνός);	purely, i.e. honestly	sincerely
G0056	ἀγνωσία	agnōsía	from G1 (Α) (as negative particle) and G1108 (γνῶσις);	ignorance (properly, the state)	ignorance, not the knowledge
G0057	ἄγνωστος	ágnōstos	from G1 (Α) (as negative particle) and G1110 (γνωστός);	unknown	unknown
G0058	ἀγορά	agorá	from (to gather;	probably akin to G1453 (ἐγείρω)); properly, the town-square (as a place of public resort); by implication, a market or thoroughfare	market(-place), street
G0059	ἀγοράζω	agorázō	from G58 (ἀγορά);	properly, to go to market, i.e. (by implication) to purchase; specially, to redeem	buy, redeem
G0060	ἀγοραῖος	agoraîos	from G58 (ἀγορά);	relating to the market-place, i.e. forensic (times); by implication, vulgar	baser sort, low
G0061	ἄγρα	ágra	from G71 (ἄγω);	(abstractly) a catching (of fish); also (concretely) a haul (of fish)	draught
G0062	ἀγράμματος	agrámmatos	from G1 (Α) (as negative particle) and G1121 (γράμμα);	unlettered, i.e. illiterate	unlearned
G0063	ἀγραυλέω	agrauléō	from G68 (ἀγρός) and G832 (αὐλέω) (in the sense of G833 (αὐλή));	to camp out	abide in the field
G0064	ἀγρεύω	agreúō	from G61 (ἄγρα);	to hunt, i.e. (figuratively) to entrap	catch
G0065	ἀγριέλαιος	agriélaios	from G66 (ἄγριος) and G1636 (ἐλαία);	an oleaster	olive tree (which is) wild
G0066	ἄγριος	ágrios	from G68 (ἀγρός);	wild (as pertaining to the country), literally (natural) or figuratively (fierce)	wild, raging
G0067	Ἀγρίππας	Agríppas	apparently from G66 (ἄγριος) and G2462 (ἵππος);	wild-horse tamer; Agrippas, one of the Herods	Agrippa
G0068	ἀγρός	agrós	from G71 (ἄγω);	a field (as a drive for cattle); genitive case, the country; specially, a farm, i.e. hamlet	country, farm, piece of ground, land
G0069	ἀγρυπνέω	agrypnéō	ultimately from G1 (Α) (as negative particle) and G5258 (ὕπνος);	to be sleepless, i.e. keep awake	watch
G0070	ἀγρυπνία	agrypnía	from G69 (ἀγρυπνέω);	sleeplessness, i.e. a keeping awake	watch
G0071	ἄγω	ágō	a primary verb;	properly, to lead; by implication, to bring, drive, (reflexively) go, (specially) pass (time), or (figuratively) induce	be, bring (forth), carry, (let) go, keep, lead away, be open
G0072	ἀγωγή	agōgḗ	reduplicated from G71 (ἄγω);	a bringing up, i.e. mode of living	manner of life
G0073	ἀγών	agṓn	from G71 (ἄγω);	properly, a place of assembly (as if led), i.e. (by implication) a contest (held there); figuratively, an effort or anxiety	conflict, contention, fight, race
G0074	ἀγωνία	agōnía	from G73 (ἀγών);	a struggle (properly, the state), i.e. (figuratively) anguish	agony
G0075	ἀγωνίζομαι	agōnízomai	from G73 (ἀγών);	to struggle, literally (to compete for a prize), figuratively (to contend with an adversary), or genitive case (to endeavor to accomplish something)	fight, labor fervently, strive
G0076	Ἀδάμ	Adám	of Hebrew origin (H0121);	Adam, the first man; typically (of Jesus) man (as his representative)	Adam
G0077	ἀδάπανος	adápanos	from G1 (Α) (as negative particle);	and G1160 (δαπάνη); costless, i.e. gratuitous	without expense
G0078	Ἀδδί	Addí	probably of Hebrew origin (compare H05716);	Addi, an Israelite	Addi
G0079	ἀδελφή	adelphḗ	feminine of G80 (ἀδελφός);	a sister (naturally or ecclesiastically)	sister
G0080	ἀδελφός	adelphós	from G1 (Α) (as a connective particle) and (the womb);	a brother (literally or figuratively) near or remote (much like G1 (Α))	brother
G0081	ἀδελφότης	adelphótēs	from G80 (ἀδελφός);	brotherhood (properly, the feeling of brotherliness), i.e. the (Christian) fraternity	brethren, brotherhood
G0082	ἄδηλος	ádēlos	from G1 (Α) (as a negative particle) and G1212 (δῆλος);	hidden, figuratively, indistinct	appear not, uncertain
G0083	ἀδηλότης	adēlótēs	from G82 (ἄδηλος);	uncertainty	X uncertain
G0084	ἀδήλως	adḗlōs	adverb from G82 (ἄδηλος);	uncertainly	uncertainly
G0085	ἀδημονέω	adēmonéō	from a derivative of (to be sated to loathing);	to be in distress (of mind)	be full of heaviness, be very heavy
G0086	ᾅδης	háidēs	from G1 (Α) (as negative particle) and G1492 (εἴδω);	properly, unseen, i.e. "Hades" or the place (state) of departed souls	grave, hell
G0087	ἀδιάκριτος	adiákritos	from G1 (Α) (as a negative particle) and a derivative of G1252 (διακρίνω);	properly, undistinguished, i.e. (actively) impartial	without partiality
G0088	ἀδιάλειπτος	adiáleiptos	from G1 (Α) (as a negative particle) and a derivative of a compound of G1223 (διά) and G3007 (λείπω);	unintermitted, i.e. permanent	without ceasing, continual
G0089	ἀδιαλείπτως	adialeíptōs	adverb from G88 (ἀδιάλειπτος);	uninterruptedly, i.e. without omission (on an appropriate occasion)	without ceasing
G0090	ἀδιαφθορία	adiaphthoría	from a derivative of a compound of G1 (Α) (as a negative particle) and a derivative of G1311 (διαφθείρω);	incorruptibleness, i.e. (figuratively) purity (of doctrine)	uncorruptness
G0091	ἀδικέω	adikéō	from G94 (ἄδικος);	to be unjust, i.e. (actively) do wrong (morally, socially or physically)	hurt, injure, be an offender, be unjust, (do, suffer, take) wrong
G0092	ἀδίκημα	adíkēma	from G91 (ἀδικέω);	a wrong done	evil doing, iniquity, matter of wrong
G0093	ἀδικία	adikía	from G94 (ἄδικος);	(legal) injustice (properly, the quality, by implication, the act); morally, wrongfulness (of character, life or act)	iniquity, unjust, unrighteousness, wrong
G0094	ἄδικος	ádikos	from G1 (Α) (as a negative particle) and G1349 (δίκη);	unjust; by extension wicked; by implication, treacherous; specially, heathen	unjust, unrighteous
G0095	ἀδίκως	adíkōs	adverb from G94 (ἄδικος);	unjustly	wrongfully
G0096	ἀδόκιμος	adókimos	from G1 (Α) (as a negative particle) and G1384 (δόκιμος);	unapproved, i.e. rejected; by implication, worthless (literally or morally)	castaway, rejected, reprobate
G0097	ἄδολος	ádolos	from G1 (Α) (as a negative particle);	and G1388 (δόλος); undeceitful, i.e. (figuratively) unadulterated	sincere
G0098	Ἀδραμυττηνός	Adramyttēnós	from (a place in Asia Minor);	Adramyttene or belonging to Adramyttium	of Adramyttium
G0099	Ἀδρίας	Adrías	from (a place near its shore);	the Adriatic sea (including the Ionian)	Adria
G0100	ἁδρότης	hadrótēs	from (stout);	plumpness, i.e. (figuratively) liberality	abundance
G0101	ἀδυνατέω	adynatéō	from G102 (ἀδύνατος);	to be unable, i.e. (passively) impossible	be impossible
G0102	ἀδύνατος	adýnatos	from G1 (Α) (as a negative particle) and G1415 (δυνατός);	unable, i.e. weak (literally or figuratively); passively, impossible	could not do, impossible, impotent, not possible, weak
G0103	ᾄδω	áidō	a primary verb;	to sing	sing
G0104	ἀεί	aeí	from an obsolete primary noun (apparently meaning continued duration);	"ever," by qualification regularly; by implication, earnestly	always, ever
G0105	ἀετός	aetós	from the same as G109 (ἀήρ);	an eagle (from its wind-like flight)	eagle
G0106	ἄζυμος	ázymos	from G1 (Α) (as a negative particle) and G2219 (ζύμη);	unleavened, i.e. (figuratively) uncorrupted; (in the neutral plural) specially (by implication) the Passover week	unleavened (bread)
G0107	Ἀζώρ	Azṓr	of Hebrew origin (compare H05809);	Azor, an Israelite	Azorigin
G0108	Ἄζωτος	Ázōtos	of Hebrew origin (H0795);	Azotus (i.e. Ashdod), a place in Palestine	Azotus
G0109	ἀήρ	aḗr	from (to breathe unconsciously, i.e. respire;	by analogy, to blow); "air" (as naturally circumambient)	air
G0110	ἀθανασία	athanasía	from a compound of G1 (Α) (as a negative particle) and G2288 (θάνατος);	deathlessness	immortality
G0111	ἀθέμιτος	athémitos	from G1 (Α) (as a negative particle) and a derivative of (statute;	from the base of G5087 (τίθημι)); illegal; by implication, flagitious	abominable, unlawful thing
G0112	ἄθεος	átheos	from G1 (Α) (as a negative particle) and G2316 (θεός);	godless	without God
G0113	ἄθεσμος	áthesmos	from G1 (Α) (as a negative particle) and a derivative of G5087 (τίθημι) (in the sense of enacting);	lawless, i.e. (by implication) criminal	wicked
G0114	ἀθετέω	athetéō	from a compound of G1 (Α) (as a negative particle) and a derivative of G5087 (τίθημι);	to set aside, i.e. (by implication) to disesteem, neutralize or violate	cast off, despise, disannul, frustrate, bring to nought, reject
G0115	ἀθέτησις	athétēsis	from G114 (ἀθετέω);	cancellation (literally or figuratively)	disannulling, put away
G0116	Ἀθῆναι	Athēnai	plural of (the goddess of wisdom, who was reputed to have founded the city);	Athenæ, the capitol of Greece	Athens
G0117	Ἀθηναῖος	Athēnaîos	from G116 (Ἀθῆναι);	an Athenæan or inhabitant of Athenæ	Athenian
G0118	ἀθλέω	athléō	from (a contest in the public lists);	to contend in the competitive games	strive
G0119	ἄθλησις	áthlēsis	from G118 (ἀθλέω);	a struggle (figuratively)	fight
G0120	ἀθυμέω	athyméō	from a compound of G1 (Α) (as a negative particle) and G2372 (θυμός);	to be spiritless, i.e. disheartened	be dismayed
G0121	ἄθωος	áthōos	from G1 (Α) (as a negative particle) and probably a derivative of G5087 (τίθημι) (meaning a penalty);	not guilty	innocent
G0122	αἴγειος	aígeios	from (a goat);	belonging to a goat	goat
G0123	αἰγιαλός	aigialós	from (to rush) and G251 (ἅλς) (in the sense of the sea;	a beach (on which the waves dash)	shore
G0124	Αἰγύπτιος	Aigýptios	from G125 (Αἴγυπτος);	an Ægyptian or inhabitant of Ægyptus	Egyptian
G0125	Αἴγυπτος	Aígyptos	of uncertain derivation;	Ægyptus, the land of the Nile	Egypt
G0126	ἀΐδιος	aḯdios	from G104 (ἀεί);	everduring (forward and backward, or forward only)	eternal, everlasting
G0127	αἰδώς	aidṓs	perhaps from G1 (Α) (as a negative particle) and G1492 (εἴδω) (through the idea of downcast eyes);	bashfulness, i.e. (towards men), modesty or (towards God) awe	reverence, shamefacedness
G0128	Αἰθίοψ	Aithíops	from (to scorch) and (the face, from G3700 (ὀπτάνομαι));	an Æthiopian (as a blackamoor)	Ethiopian
G0129	αἷμα	haîma	of uncertain derivation;	blood, literally (of men or animals), figuratively (the juice of grapes) or specially (the atoning blood of Christ); by implication, bloodshed, also kindred	blood
G0130	αἱματεκχυσία	haimatekchysía	from G129 (αἷμα) and a derivative of G1632 (ἐκχέω);	an effusion of blood	shedding of blood
G0131	αἱμοῤῥέω	haimorrhéō	from G129 (αἷμα) and G4482 (ῥέω);	to flow blood, i.e. have a hæmorrhage	diseased with an issue of blood
G0132	Αἰνέας	Ainéas	of uncertain derivation;	Ænĕas, an Israelite	Æneas
G0133	αἴνεσις	aínesis	from G134 (αἰνέω);	a praising (the act), i.e. (specially) a thank(-offering)	praise
G0134	αἰνέω	ainéō	from G136 (αἶνος);	to praise (God)	praise
G0135	αἴνιγμα	aínigma	from a derivative of G136 (αἶνος) (in its primary sense);	an obscure saying ("enigma"), i.e. (abstractly) obscureness	X darkly
G0136	αἶνος	aînos	apparently a prime word;	properly, a story, but used in the sense of G1868 (ἔπαινος); praise (of God)	praise
G0137	Αἰνών	Ainṓn	of Hebrew origin (a derivative of G5869, place of springs);	Ænon, a place in Palestine	Ænon
G0138	αἱρέομαι	hairéomai	probably akin to G142 (αἴρω);	to take for oneself, i.e. to prefer	choose
G0139	αἵρεσις	haíresis	from G138 (αἱρέομαι);	properly, a choice, i.e. (specially) a party or (abstractly) disunion	heresy (which is the Greek word itself), sect
G0140	αἱρετίζω	hairetízō	from a derivative of G138 (αἱρέομαι);	to make a choice	choose
G0141	αἱρετικός	hairetikós	from the same as G140 (αἱρετίζω);	a schismatic	heretic (the Greek word itself)
G0142	αἴρω	aírō	a primary root;	to lift up; by implication, to take up or away; figuratively, to raise (the voice), keep in suspense (the mind), specially, to sail away (i.e. weigh anchor); by Hebraism (compare H05375) to expiate sin	away with, bear (up), carry, lift up, loose, make to doubt, put away, remove, take (away, up)
G0143	αἰσθάνομαι	aisthánomai	of uncertain derivation;	to apprehend (properly, by the senses)	perceive
G0144	αἴσθησις	aísthēsis	from G143 (αἰσθάνομαι);	perception, i.e. (figuratively) discernment	judgment
G0145	αἰσθητήριον	aisthētḗrion	from a derivative of G143 (αἰσθάνομαι);	properly, an organ of perception, i.e. (figuratively) judgment	senses
G0146	αἰσχροκερδής	aischrokerdḗs	from G150 (αἰσχρός) and (gain);	sordid	given to (greedy of) filthy lucre
G0147	αἰσχροκερδῶς	aischrokerdōs	adverb from G146 (αἰσχροκερδής);	sordidly	for filthy lucre's sake
G0148	αἰσχρολογία	aischrología	from G150 (αἰσχρός) and G3056 (λόγος);	vile conversation	filthy communication
G0149	αἰσχρόν	aischrón	neuter of G150 (αἰσχρός);	a shameful thing, i.e. indecorum	shame
G0150	αἰσχρός	aischrós	from the same as G153 (αἰσχύνομαι);	shameful, i.e. base (specially, venal)	filthy
G0151	αἰσχρότης	aischrótēs	from G150 (αἰσχρός);	shamefulness, i.e. obscenity	filthiness
G0152	αἰσχύνη	aischýnē	from G153 (αἰσχύνομαι);	shame or disgrace (abstractly or concretely)	dishonesty, shame
G0153	αἰσχύνομαι	aischýnomai	from (disfigurement, i.e. disgrace);	to feel shame (for oneself)	be ashamed
G0154	αἰτέω	aitéō	of uncertain derivation;	to ask (in genitive case)	ask, beg, call for, crave, desire, require
G0155	αἴτημα	aítēma	from G154 (αἰτέω);	a thing asked or (abstractly) an asking	petition, request, required
G0156	αἰτία	aitía	from the same as G154 (αἰτέω);	a cause (as if asked for), i.e. (logical) reason (motive, matter), (legal) crime (alleged or proved)	accusation, case, cause, crime, fault, (wh-)ere(-fore)
G0157	αἰτίαμα	aitíama	from a derivative of G156 (αἰτία);	a thing charged	complaint
G0158	αἴτιον	aítion	neuter of G159 (αἴτιος);	a reason or crime (like G156 (αἰτία))	cause, fault
G0159	αἴτιος	aítios	from the same as G154 (αἰτέω);	causative, i.e. (concretely) a causer	author
G0160	αἰφνίδιος	aiphnídios	from a compound of G1 (Α) (as a negative particle) and G5316 (φαίνω) (compare G1810 (ἐξαίφνης)) (meaning non-apparent);	unexpected, i.e. (adverbially) suddenly	sudden, unawares
G0161	αἰχμαλωσία	aichmalōsía	from G164 (αἰχμάλωτος);	captivity	captivity
G0162	αἰχμαλωτεύω	aichmalōteúō	from G164 (αἰχμάλωτος);	to capture (like G163 (αἰχμαλωτίζω))	lead captive
G0163	αἰχμαλωτίζω	aichmalōtízō	from G164 (αἰχμάλωτος);	to make captive	lead away captive, bring into captivity
G0164	αἰχμάλωτος	aichmálōtos	from (a spear) and a derivative of the same as G259 (ἅλωσις);	properly, a prisoner of war, i.e. (genitive case) a captive	captive
G0165	αἰών	aiṓn	from the same as G104 (ἀεί);	properly, an age; by extension, perpetuity (also past); by implication, the world; specially (Jewish) a Messianic period (present or future)	age, course, eternal, (for) ever(-more), (n-)ever, (beginning of the , while the) world (began, without end)
G0166	αἰώνιος	aiṓnios	from G165 (αἰών);	perpetual (also used of past time, or past and future as well)	eternal, for ever, everlasting, world (began)
G0167	ἀκαθαρσία	akatharsía	from G169 (ἀκάθαρτος);	impurity (the quality), physically or morally	uncleanness
G0168	ἀκαθάρτης	akathártēs	from G169 (ἀκάθαρτος);	impurity (the state), morally	filthiness
G0169	ἀκάθαρτος	akáthartos	from G1 (Α) (as a negative particle) and a presumed derivative of G2508 (καθαίρω) (meaning cleansed);	impure (ceremonially, morally (lewd) or specially, (demonic))	foul, unclean
G0170	ἀκαιρέομαι	akairéomai	from a compound of G1 (Α) (as a negative particle) and G2540 (καιρός) (meaning unseasonable);	to be inopportune (for oneself), i.e. to fail of a proper occasion	lack opportunity
G0171	ἀκαίρως	akaírōs	adverb from the same as G170 (ἀκαιρέομαι);	inopportunely	out of season
G0172	ἄκακος	ákakos	from G1 (Α) (as a negative particle) and G2556 (κακός);	not bad, i.e. (objectively) innocent or (subjectively) unsuspecting	harmless, simple
G0173	ἄκανθα	ákantha	probably from the same as G188 (ἀκμήν);	a thorn	thorn
G0174	ἀκάνθινος	akánthinos	from G173 (ἄκανθα);	thorny	of thorns
G0175	ἄκαρπος	ákarpos	from G1 (Α) (as a negative particle) and G2590 (καρπός);	barren (literally or figuratively)	without fruit, unfruitful
G0176	ἀκατάγνωστος	akatágnōstos	from G1 (Α) (as a negative particle) and a derivative of G2607 (καταγινώσκω);	unblamable	that cannot be condemned
G0177	ἀκατακάλυπτος	akatakályptos	from G1 (Α) (as a negative particle) and a derivative of a compound of G2596 (κατά) and G2572 (καλύπτω);	unveiled	uncovered
G0178	ἀκατάκριτος	akatákritos	from G1 (Α) (as a negative particle) and a derivative of G2632 (κατακρίνω);	without (legal) trial	uncondemned
G0179	ἀκατάλυτος	akatálytos	from G1 (Α) (as a negative particle) and a derivative of G2647 (καταλύω);	indissoluble, i.e. (figuratively) permanent	endless
G0180	ἀκατάπαυστος	akatápaustos	from G1 (Α) (as a negative particle) and a derivative of G2664 (καταπαύω);	unrefraining	that cannot cease
G0181	ἀκαταστασία	akatastasía	from G182 (ἀκατάστατος);	instability, i.e. disorder	commotion, confusion, tumult
G0182	ἀκατάστατος	akatástatos	from G1 (Α) (as a negative particle) and a derivative of G2525 (καθίστημι);	inconstant	unstable
G0183	ἀκατάσχετος	akatáschetos	from G1 (Α) (as a negative particle) and a derivative of G2722 (κατέχω);	unrestrainable	unruly
G0184	Ἀκελδαμά	Akeldamá	of Chaldee origin (meaning field of blood;	corresponding to H02506 and H01818); Akeldama, a place near Jerusalem	Aceldama
G0185	ἀκέραιος	akéraios	from G1 (Α) (as a negative particle) and a presumed derivative of G2767 (κεράννυμι);	unmixed, i.e. (figuratively) innocent	harmless, simple
G0186	ἀκλινής	aklinḗs	from G1 (Α) (as a negative particle) and G2827 (κλίνω);	not leaning, i.e. (figuratively) firm	without wavering
G0187	ἀκμάζω	akmázō	from the same as G188 (ἀκμήν);	to make a point, i.e. (figuratively) mature	be fully ripe
G0188	ἀκμήν	akmḗn	accusative case of a noun ("acme") akin to (a point) and meaning the same;	adverbially, just now, i.e. still	yet
G0189	ἀκοή	akoḗ	from G191 (ἀκούω);	hearing (the act, the sense or the thing heard)	audience, ear, fame, which ye heard, hearing, preached, report, rumor
G0190	ἀκολουθέω	akolouthéō	from G1 (Α) (as a particle of union) and (a road);	properly, to be in the same way with, i.e. to accompany (specially, as a disciple)	follow, reach
G0191	ἀκούω	akoúō	a primary verb;	to hear (in various senses)	give (in the) audience (of), come (to the ears), (shall) hear(-er, -ken), be noised, be reported, understand
G0192	ἀκρασία	akrasía	from G193 (ἀκρατής);	want of self-restraint	excess, incontinency
G0193	ἀκρατής	akratḗs	from G1 (Α) (as a negative particle) and G2904 (κράτος);	powerless, i.e. without self-control	incontinent
G0194	ἄκρατος	ákratos	from G1 (Α) (as a negative particle) and a presumed derivative of G2767 (κεράννυμι);	undiluted	without mixture
G0195	ἀκρίβεια	akríbeia	from the same as G196 (ἀκριβέστατος);	exactness	perfect manner
G0196	ἀκριβέστατος	akribéstatos	superlative of (a derivative of the same as G206 (ἄκρον));	most exact	most straitest
G0197	ἀκριβέστερον	akribésteron	neuter of the comparative of the same as G196 (ἀκριβέστατος);	(adverbially) more exactly	more perfect(-ly)
G0198	ἀκριβόω	akribóō	from the same as G196 (ἀκριβέστατος);	to be exact, i.e. ascertain	enquire diligently
G0199	ἀκριβῶς	akribōs	adverb from the same as G196 (ἀκριβέστατος);	exactly	circumspectly, diligently, perfect(-ly)
G0200	ἀκρίς	akrís	apparently from the same as G206 (ἄκρον);	a locust (as pointed, or as lighting on the top of vegetation)	locust
G0201	ἀκροατήριον	akroatḗrion	from G202 (ἀκροατής);	an audience-room	place of hearing
G0202	ἀκροατής	akroatḗs	from (to listen;	apparently an intensive of G191 (ἀκούω)); a hearer (merely)	hearer
G0203	ἀκροβυστία	akrobystía	from G206 (ἄκρον) and probably a modified form of (the penis or male sexual organ);	the prepuce; by implication, an uncircumcised (i.e. gentile, figuratively, unregenerate) state or person	not circumcised, uncircumcised (with G2192 (ἔχω)), uncircumcision
G0204	ἀκρογωνιαῖος	akrogōniaîos	from G206 (ἄκρον) and G1137 (γωνία);	belonging to the extreme corner	chief corner
G0205	ἀκροθίνιον	akrothínion	from G206 (ἄκρον) and (a heap);	properly (in the plural) the top of the heap, i.e. (by implication) best of the booty	spoils
G0206	ἄκρον	ákron	neuter of an adjective probably akin to the base of G188 (ἀκμήν);	the extremity	one end… other, tip, top, uttermost participle
G0207	Ἀκύλας	Akýlas	probably for Latin aquila (an eagle);	Akulas, an Israelite	Aquila
G0208	ἀκυρόω	akyróō	from G1 (Α) (as a negative particle) and G2964 (κυρόω);	to invalidate	disannul, make of none effect
G0209	ἀκωλύτως	akōlýtōs	adverb from a compound of G1 (Α) (as a negative particle) and a derivative of G2967 (κωλύω);	in an unhindered manner, i.e. freely	no man forbidding him
G0210	ἄκων	ákōn	from G1 (Α) (as a negative particle) and G1635 (ἑκών);	unwilling	against the will
G0211	ἀλάβαστρον	alábastron	neuter of (of uncertain derivation), the name of a stone;	properly, an "alabaster" box, i.e. (by extension) a perfume vase (of any material)	(alabaster) box
G0212	ἀλαζονεία	alazoneía	from G213 (ἀλαζών);	braggadocio, i.e. (by implication) self-confidence	boasting, pride
G0213	ἀλαζών	alazṓn	from (vagrancy);	braggart	boaster
