reference	n	greek	transliteration	parsing	strongs	english
Matthew 1:5	15	τῆς	thv	T-GSF	G3588	-
Matthew 1:5	16	Ῥούθ	rouq	N-PRI	G4503	Ruth
Matthew 1:5	17	Ὠβὴδ	wbhd	N-PRI	G5601	Obed
Matthew 1:5	18	δὲ	de	CONJ	G1161	-
Matthew 1:5	19	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:5	20	τὸν	ton	T-ASM	G3588	-
Matthew 1:5	21	Ἰεσσαί	iessai	N-PRI	G2421	Jesse
Matthew 1:6	1	Ἰεσσαὶ	iessai	N-PRI	G2421	Jesse
Matthew 1:6	2	δὲ	de	CONJ	G1161	and
Matthew 1:6	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:6	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:6	5	Δαυὶδ	dauid	N-PRI	G1138	David
Matthew 1:6	6	τὸν	ton	T-ASM	G3588	the
Matthew 1:6	7	βασιλέα	basilea	N-ASM	G0935	king
Matthew 1:6	8	Δαυὶδ	dauid	N-PRI	G1138	David
Matthew 1:6	9	δὲ	de	CONJ	G1161	Next
Matthew 1:6	10	ὁ	o	T-NSM	G3588	the
Matthew 1:6	11	βασιλεὺς	basileuv	N-NSM	G0935	king
Matthew 1:6	12	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	was the father of
Matthew 1:6	13	τὸν	ton	T-ASM	G3588	-
Matthew 1:6	14	Σολομῶνα	solomwna	N-ASM	G4672	Solomon
Matthew 1:6	15	ἐκ	ek	PREP	G1537	by
Matthew 1:6	16	τῆς	thv	T-GSF	G3588	[wife]
Matthew 1:6	17	τοῦ	tou	T-GSM	G3588	. . .
Matthew 1:6	18	Οὐρίου	ouriou	N-GSM	G3774	Uriah’s
Matthew 1:7	1	Σολομὼν	solomwn	N-NSM	G4672	Solomon
Matthew 1:7	2	δὲ	de	CONJ	G1161	-
Matthew 1:7	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:7	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:7	5	Ῥοβοάμ	roboam	N-PRI	G4497	Rehoboam
Matthew 1:7	6	Ῥοβοὰμ	roboam	N-PRI	G4497	Rehoboam
Matthew 1:7	7	δὲ	de	CONJ	G1161	-
Matthew 1:7	8	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:7	9	τὸν	ton	T-ASM	G3588	-
Matthew 1:7	10	Ἀβιά	abia	N-PRI	G0007	Abijah
Matthew 1:7	11	Ἀβιὰ	abia	N-PRI	G0007	Abijah
Matthew 1:7	12	δὲ	de	CONJ	G1161	and
Matthew 1:7	13	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:7	14	τὸν	ton	T-ASM	G3588	-
Matthew 1:7	15	Ἀσά	asa	N-PRI	G0760	Asa
Matthew 1:8	1	Ἀσὰ	asa	N-PRI	G0760	Asa
Matthew 1:8	2	δὲ	de	CONJ	G1161	-
Matthew 1:8	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	was the father of
Matthew 1:8	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:8	5	Ἰωσαφάτ	iwsafat	N-PRI	G2498	Jehoshaphat
Matthew 1:8	6	Ἰωσαφὰτ	iwsafat	N-PRI	G2498	Jehoshaphat
Matthew 1:8	7	δὲ	de	CONJ	G1161	-
Matthew 1:8	8	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:8	9	τὸν	ton	T-ASM	G3588	-
Matthew 1:8	10	Ἰωράμ	iwram	N-PRI	G2496	Joram
Matthew 1:8	11	Ἰωρὰμ	iwram	N-PRI	G2496	Joram
Matthew 1:8	12	δὲ	de	CONJ	G1161	and
Matthew 1:8	13	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:8	14	τὸν	ton	T-ASM	G3588	-
Matthew 1:8	15	Ὀζίαν	ozian	N-ASM	G3604	Uzziah
Matthew 1:9	1	Ὀζίας	oziav	N-NSM	G3604	Uzziah
Matthew 1:9	2	δὲ	de	CONJ	G1161	-
Matthew 1:9	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	was the father of
Matthew 1:9	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:9	5	Ἰωάθαμ	iwaqam	N-PRI	G2488	Jotham
Matthew 1:9	6	Ἰωάθαμ	iwaqam	N-PRI	G2488	Jotham
Matthew 1:9	7	δὲ	de	CONJ	G1161	-
Matthew 1:9	8	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:9	9	τὸν	ton	T-ASM	G3588	-
Matthew 1:9	10	Ἄχαζ	acaz	N-PRI	G0881	Ahaz
Matthew 1:9	11	Ἄχαζ	acaz	N-PRI	G0881	Ahaz
Matthew 1:9	12	δὲ	de	CONJ	G1161	and
Matthew 1:9	13	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:9	14	τὸν	ton	T-ASM	G3588	-
Matthew 1:9	15	Ἑζεκίαν	ezekian	N-ASM	G1478	Hezekiah
Matthew 1:10	1	Ἑζεκίας	ezekiav	N-NSM	G1478	Hezekiah
Matthew 1:10	2	δὲ	de	CONJ	G1161	-
Matthew 1:10	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	was the father of
Matthew 1:10	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:10	5	Μανασσῆ	manassh	N-ASM	G3128	Manasseh
Matthew 1:10	6	Μανασσῆς	manasshv	N-NSM	G3128	Manasseh
Matthew 1:10	7	δὲ	de	CONJ	G1161	-
Matthew 1:10	8	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:10	9	τὸν	ton	T-ASM	G3588	-
Matthew 1:10	10	Ἀμών	amwn	N-PRI	G0300	Amon
Matthew 1:10	11	Ἀμὼν	amwn	N-PRI	G0300	Amon
Matthew 1:10	12	δὲ	de	CONJ	G1161	-
Matthew 1:10	13	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:10	14	τὸν	ton	T-ASM	G3588	-
Matthew 1:10	15	Ἰωσίαν	iwsian	N-ASM	G2502	Josiah
Matthew 1:11	1	Ἰωσίας	iwsiav	N-NSM	G2502	Josiah
Matthew 1:11	2	δὲ	de	CONJ	G1161	and
Matthew 1:11	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:11	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:11	5	Ἰεχονίαν	ieconian	N-ASM	G2423	Jeconiah
Matthew 1:11	6	καὶ	kai	CONJ	G2532	and
Matthew 1:11	7	τοὺς	touv	T-APM	G3588	-
Matthew 1:11	8	ἀδελφοὺς	adelfouv	N-APM	G0080	brothers
Matthew 1:11	9	αὐτοῦ	autou	P-GSM	G0846	his
Matthew 1:11	10	ἐπὶ	epi	PREP	G1909	at [the time]
Matthew 1:11	11	τῆς	thv	T-GSF	G3588	of the
Matthew 1:11	12	μετοικεσίας	metoikesiav	N-GSF	G3350	exile
Matthew 1:11	13	Βαβυλῶνος	babulwnov	N-GSF	G0897	to Babylon
Matthew 1:12	1	Μετὰ	meta	PREP	G3326	After
Matthew 1:12	2	δὲ	de	CONJ	G1161	vvv
Matthew 1:12	3	τὴν	thn	T-ASF	G3588	the
Matthew 1:12	4	μετοικεσίαν	metoikesian	N-ASF	G3350	exile
Matthew 1:12	5	Βαβυλῶνος	babulwnov	N-GSF	G0897	to Babylon
Matthew 1:12	6	Ἰεχονίας	ieconiav	N-NSM	G2423	Jeconiah
Matthew 1:12	7	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	was the father of
Matthew 1:12	8	τὸν	ton	T-ASM	G3588	-
Matthew 1:12	9	Σαλαθιήλ	salaqihl	N-PRI	G4528	Shealtiel
Matthew 1:12	10	Σαλαθιὴλ	salaqihl	N-PRI	G4528	Shealtiel
Matthew 1:12	11	δὲ	de	CONJ	G1161	-
Matthew 1:12	12	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:12	13	τὸν	ton	T-ASM	G3588	-
Matthew 1:12	14	Ζοροβάβελ	zorobabel	N-PRI	G2216	Zerubbabel
Matthew 1:13	1	Ζοροβάβελ	zorobabel	N-PRI	G2216	Zerubbabel
Matthew 1:13	2	δὲ	de	CONJ	G1161	-
Matthew 1:13	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:13	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:13	5	Ἀβιούδ	abioud	N-PRI	G0010	Abiud
Matthew 1:13	6	Ἀβιοὺδ	abioud	N-PRI	G0010	Abiud
Matthew 1:13	7	δὲ	de	CONJ	G1161	-
Matthew 1:13	8	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:13	9	τὸν	ton	T-ASM	G3588	-
Matthew 1:13	10	Ἐλιακείμ	eliakeim	N-PRI	G1662	Eliakim
Matthew 1:13	11	Ἐλιακεὶμ	eliakeim	N-PRI	G1662	Eliakim
Matthew 1:13	12	δὲ	de	CONJ	G1161	and
Matthew 1:13	13	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:13	14	τὸν	ton	T-ASM	G3588	-
Matthew 1:13	15	Ἀζώρ	azwr	N-PRI	G0107	Azor
Matthew 1:14	1	Ἀζὼρ	azwr	N-PRI	G0107	Azor
Matthew 1:14	2	δὲ	de	CONJ	G1161	-
Matthew 1:14	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	was the father of
Matthew 1:14	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:14	5	Σαδώκ	sadwk	N-PRI	G4524	Zadok
Matthew 1:14	6	Σαδὼκ	sadwk	N-PRI	G4524	Zadok
Matthew 1:14	7	δὲ	de	CONJ	G1161	-
Matthew 1:14	8	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:14	9	τὸν	ton	T-ASM	G3588	-
Matthew 1:14	10	Ἀχείμ	aceim	N-PRI	G0885	Achim
Matthew 1:14	11	Ἀχεὶμ	aceim	N-PRI	G0885	Achim
Matthew 1:14	12	δὲ	de	CONJ	G1161	and
Matthew 1:14	13	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:14	14	τὸν	ton	T-ASM	G3588	-
Matthew 1:14	15	Ἐλιούδ	elioud	N-PRI	G1664	Eliud
Matthew 1:15	1	Ἐλιοὺδ	elioud	N-PRI	G1664	Eliud
Matthew 1:15	2	δὲ	de	CONJ	G1161	-
Matthew 1:15	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	was the father of
Matthew 1:15	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:15	5	Ἐλεάζαρ	eleazar	N-PRI	G1648	Eleazar
Matthew 1:15	6	Ἐλεάζαρ	eleazar	N-PRI	G1648	Eleazar
Matthew 1:15	7	δὲ	de	CONJ	G1161	-
Matthew 1:15	8	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:15	9	τὸν	ton	T-ASM	G3588	-
Matthew 1:15	10	Ματθάν	matqan	N-PRI	G3157	Matthan
Matthew 1:15	11	Ματθὰν	matqan	N-PRI	G3157	Matthan
Matthew 1:15	12	δὲ	de	CONJ	G1161	-
Matthew 1:15	13	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:15	14	τὸν	ton	T-ASM	G3588	-
Matthew 1:15	15	Ἰακώβ	iakwb	N-PRI	G2384	Jacob
Matthew 1:16	1	Ἰακὼβ	iakwb	N-PRI	G2384	Jacob
Matthew 1:16	2	δὲ	de	CONJ	G1161	and
Matthew 1:16	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:16	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:16	5	Ἰωσὴφ	iwshf	N-PRI	G2501	Joseph
Matthew 1:16	6	τὸν	ton	T-ASM	G3588	the
Matthew 1:16	7	ἄνδρα	andra	N-ASM	G0435	husband
Matthew 1:16	8	Μαρίας	mariav	N-GSF	G3137	of Mary
Matthew 1:16	9	ἐξ	ex	PREP	G1537	of
Matthew 1:16	10	ἧς	hv	R-GSF	G3739	whom
Matthew 1:16	11	ἐγεννήθη	egennhqh	V-API-3S	G1080	was born
Matthew 1:16	12	Ἰησοῦς	ihsouv	N-NSM	G2424	Jesus
Matthew 1:16	13	ὁ	o	T-NSM	G3588	who
Matthew 1:16	14	λεγόμενος	legomenov	V-PPP-NSM	G3004	is called
