reference	n	greek	transliteration	parsing	strongs	english
Luke 21:19	7	ψυχὰς	yucav	N-APF	G5590	souls
Luke 21:19	8	ὑμῶν	umwn	P-2GP	G4771	your
Luke 21:20	1	Ὅταν	otan	CONJ	G3752	when
Luke 21:20	2	δὲ	de	CONJ	G1161	But
Luke 21:20	3	ἴδητε	idhte	V-2AAS-2P	G3708	you see
Luke 21:20	4	κυκλουμένην	kukloumenhn	V-PPP-ASF	G2944	surrounded
Luke 21:20	5	ὑπὸ	upo	PREP	G5259	by
Luke 21:20	6	στρατοπέδων	stratopedwn	N-GPN	G4760	armies
Luke 21:20	7	τὴν	thn	T-ASF	G3588	
Luke 21:20	8	Ἱερουσαλήμ	ierousalhm	N-PRI	G2419	Jerusalem
Luke 21:20	9	τότε	tote	ADV	G5119	-
Luke 21:20	10	γνῶτε	gnwte	V-2AAM-2P	G1097	you will know
Luke 21:20	11	ὅτι	oti	CONJ	G3754	that
Luke 21:20	12	ἤγγικεν	hggiken	V-RAI-3S	G1448	is near
Luke 21:20	13	ἡ	h	T-NSF	G3588	-
Luke 21:20	14	ἐρήμωσις	erhmwsiv	N-NSF	G2050	desolation
Luke 21:20	15	αὐτῆς	authv	P-GSF	G0846	her
Luke 21:21	1	Τότε	tote	ADV	G5119	Then
Luke 21:21	2	οἱ	oi	T-NPM	G3588	{let} those who are
Luke 21:21	3	ἐν	en	PREP	G1722	in
Luke 21:21	4	τῇ	th	T-DSF	G3588	-
Luke 21:21	5	Ἰουδαίᾳ	ioudaia	N-DSF	G2449	Judea
Luke 21:21	6	φευγέτωσαν	feugetwsan	V-PAM-3P	G5343	flee
Luke 21:21	7	εἰς	eiv	PREP	G1519	to
Luke 21:21	8	τὰ	ta	T-APN	G3588	the
Luke 21:21	9	ὄρη	orh	N-APN	G3735	mountains
Luke 21:21	10	καὶ	kai	CONJ	G2532	{let}
Luke 21:21	11	οἱ	oi	T-NPM	G3588	those
Luke 21:21	12	ἐν	en	PREP	G1722	in
Luke 21:21	13	μέσῳ	mesw	A-DSN	G3319	[the city]
Luke 21:21	14	αὐτῆς	authv	P-GSF	G0846	vvv
Luke 21:21	15	ἐκχωρείτωσαν	ekcwreitwsan	V-PAM-3P	G1633	get out
Luke 21:21	16	καὶ	kai	CONJ	G2532	and {let}
Luke 21:21	17	οἱ	oi	T-NPM	G3588	those
Luke 21:21	18	ἐν	en	PREP	G1722	in
Luke 21:21	19	ταῖς	taiv	T-DPF	G3588	the
Luke 21:21	20	χώραις	cwraiv	N-DPF	G5561	country
Luke 21:21	21	μὴ	mh	PRT-N	G3361	vvv
Luke 21:21	22	εἰσερχέσθωσαν	eisercesqwsan	V-PNM-3P	G1525	stay out of
Luke 21:21	23	εἰς	eiv	PREP	G1519	vvv
Luke 21:21	24	αὐτήν	authn	P-ASF	G0846	[the city]
Luke 21:22	1	Ὅτι	oti	CONJ	G3754	For
Luke 21:22	2	ἡμέραι	hmerai	N-NPF	G2250	[the] days
Luke 21:22	3	ἐκδικήσεως	ekdikhsewv	N-GSF	G1557	of vengeance
Luke 21:22	4	αὗταί	autai	D-NPF	G3778	these
Luke 21:22	5	εἰσιν	eisin	V-PAI-3P	G1510	are
Luke 21:22	6	τοῦ	tou	T-GSN	G3588	-
Luke 21:22	7	πλησθῆναι	plhsqhnai	V-APN	G4130	to fulfill
Luke 21:22	8	πάντα	panta	A-APN	G3956	all
Luke 21:22	9	τὰ	ta	T-APN	G3588	-
Luke 21:22	10	γεγραμμένα	gegrammena	V-RPP-APN	G1125	that is written
Luke 21:23	1	Οὐαὶ	ouai	INJ	G3759	How miserable
Luke 21:23	2	δὲ	de	CONJ	G1161	
Luke 21:23	3	ταῖς	taiv	T-DPF	G3588	-
Luke 21:23	4	ἐν	en	PREP	G1722	. . .
Luke 21:23	5	γαστρὶ	gastri	N-DSF	G1064	. . .
Luke 21:23	6	ἐχούσαις	ecousaiv	V-PAP-DPF	G2192	[for] pregnant
Luke 21:23	7	καὶ	kai	CONJ	G2532	and
Luke 21:23	8	ταῖς	taiv	T-DPF	G3588	-
Luke 21:23	9	θηλαζούσαις	qhlazousaiv	V-PAP-DPF	G2337	nursing [mothers]
Luke 21:23	10	ἐν	en	PREP	G1722	-
Luke 21:23	11	ἐκείναις	ekeinaiv	D-DPF	G1565	those
Luke 21:23	12	ταῖς	taiv	T-DPF	G3588	-
Luke 21:23	13	ἡμέραις	hmeraiv	N-DPF	G2250	days [will be]
Luke 21:23	14	ἔσται	estai	V-FDI-3S	G1510	there will be
Luke 21:23	15	γὰρ	gar	CONJ	G1063	For
Luke 21:23	16	ἀνάγκη	anagkh	N-NSF	G0318	distress
Luke 21:23	17	μεγάλη	megalh	A-NSF	G3173	great
Luke 21:23	18	ἐπὶ	epi	PREP	G1909	upon
Luke 21:23	19	τῆς	thv	T-GSF	G3588	the
Luke 21:23	20	γῆς	ghv	N-GSF	G1093	land
Luke 21:23	21	καὶ	kai	CONJ	G2532	and
Luke 21:23	22	ὀργὴ	orgh	N-NSF	G3709	wrath
Luke 21:23	23	ἐν	en	PREP	G1722	
Luke 21:23	24	τῷ	tw	T-DSM	G3588	against
Luke 21:23	25	λαῷ	law	N-DSM	G2992	people
Luke 21:23	26	τούτῳ	toutw	D-DSM	G3778	this
Luke 21:24	1	Καὶ	kai	CONJ	G2532	-
Luke 21:24	2	πεσοῦνται	pesountai	V-FNI-3P	G4098	They will fall
Luke 21:24	3	στόματι	stomati	N-DSN	G4750	by [the] edge
Luke 21:24	4	μαχαίρας	macairav	N-GSF	G3162	of [the] sword
Luke 21:24	5	καὶ	kai	CONJ	G2532	and
Luke 21:24	6	αἰχμαλωτισθήσονται	aicmalwtisqhsontai	V-FPI-3P	G0163	be led captive
Luke 21:24	7	εἰς	eiv	PREP	G1519	into
Luke 21:24	8	πάντα	panta	A-APN	G3956	all
Luke 21:24	9	τὰ	ta	T-APN	G3588	the
Luke 21:24	10	ἔθνη	eqnh	N-APN	G1484	nations
Luke 21:24	11	καὶ	kai	CONJ	G2532	And
Luke 21:24	12	Ἱερουσαλὴμ	ierousalhm	N-PRI	G2419	Jerusalem
Luke 21:24	13	ἔσται	estai	V-FDI-3S	G1510	will be
Luke 21:24	14	πατουμένη	patoumenh	V-PPP-NSF	G3961	trodden down
Luke 21:24	15	ὑπὸ	upo	PREP	G5259	by
Luke 21:24	16	ἐθνῶν	eqnwn	N-GPN	G1484	[the] Gentiles
Luke 21:24	17	ἄχρι	acri	ADV	G0891	until
Luke 21:24	18	πληρωθῶσιν	plhrwqwsin	V-APS-3P	G4137	are fulfilled
Luke 21:24	19	καιροὶ	kairoi	N-NPM	G2540	[the] times
Luke 21:24	20	ἐθνῶν	eqnwn	N-GPN	G1484	of [the] Gentiles
Luke 21:25	1	Καὶ	kai	CONJ	G2532	-
Luke 21:25	2	ἔσται	estai	V-FDI-3S	G1510	There will be
Luke 21:25	3	σημεῖα	shmeia	N-NPN	G4592	signs
Luke 21:25	4	ἐν	en	PREP	G1722	in
Luke 21:25	5	ἡλίῳ	hliw	N-DSM	G2246	[the] sun
Luke 21:25	6	καὶ	kai	CONJ	G2532	and
Luke 21:25	7	σελήνῃ	selhnh	N-DSF	G4582	moon
Luke 21:25	8	καὶ	kai	CONJ	G2532	and
Luke 21:25	9	ἄστροις	astroiv	N-DPN	G0798	stars
Luke 21:25	10	καὶ	kai	CONJ	G2532	and
Luke 21:25	11	ἐπὶ	epi	PREP	G1909	on
Luke 21:25	12	τῆς	thv	T-GSF	G3588	the
Luke 21:25	13	γῆς	ghv	N-GSF	G1093	earth
Luke 21:25	14	συνοχὴ	sunoch	N-NSF	G4928	dismay
Luke 21:25	15	ἐθνῶν	eqnwn	N-GPN	G1484	among the nations
Luke 21:25	16	ἐν	en	PREP	G1722	by
Luke 21:25	17	ἀπορίᾳ	aporia	N-DSF	G0640	bewildered
Luke 21:25	18	ἠχούσης	hcoushv	V-PAP-GSF	G2278	[the] roaring
Luke 21:25	19	θαλάσσης	qalasshv	N-GSF	G2281	of [the] sea
Luke 21:25	20	καὶ	kai	CONJ	G2532	and
Luke 21:25	21	σάλου	salou	N-GSM	G4535	[the] surging of the waves
Luke 21:26	1	ἀποψυχόντων	apoyucontwn	V-PAP-GPM	G0674	will faint
Luke 21:26	2	ἀνθρώπων	anqrwpwn	N-GPM	G0444	Men
Luke 21:26	3	ἀπὸ	apo	PREP	G0575	from
Luke 21:26	4	φόβου	fobou	N-GSM	G5401	fear
Luke 21:26	5	καὶ	kai	CONJ	G2532	and
Luke 21:26	6	προσδοκίας	prosdokiav	N-GSF	G4329	anxiety
Luke 21:26	7	τῶν	twn	T-GPN	G3588	over what
Luke 21:26	8	ἐπερχομένων	epercomenwn	V-PNP-GPN	G1904	is coming
Luke 21:26	9	τῇ	th	T-DSF	G3588	upon the
Luke 21:26	10	οἰκουμένῃ	oikoumenh	N-DSF	G3625	earth
Luke 21:26	11	αἱ	ai	T-NPF	G3588	the
Luke 21:26	12	γὰρ	gar	CONJ	G1063	for
Luke 21:26	13	δυνάμεις	dunameiv	N-NPF	G1411	powers
Luke 21:26	14	τῶν	twn	T-GPM	G3588	of the
Luke 21:26	15	οὐρανῶν	ouranwn	N-GPM	G3772	heavens
Luke 21:26	16	σαλευθήσονται	saleuqhsontai	V-FPI-3P	G4531	will be shaken
Luke 21:27	1	Καὶ	kai	CONJ	G2532	vvv
Luke 21:27	2	τότε	tote	ADV	G5119	At that time
Luke 21:27	3	ὄψονται	oyontai	V-FDI-3P	G3708	they will see
Luke 21:27	4	τὸν	ton	T-ASM	G3588	the
Luke 21:27	5	υἱὸν	uion	N-ASM	G5207	Son
Luke 21:27	6	τοῦ	tou	T-GSM	G3588	-
Luke 21:27	7	ἀνθρώπου	anqrwpou	N-GSM	G0444	of Man
Luke 21:27	8	ἐρχόμενον	ercomenon	V-PNP-ASM	G2064	coming
Luke 21:27	9	ἐν	en	PREP	G1722	in
Luke 21:27	10	νεφέλῃ	nefelh	N-DSF	G3507	a cloud
Luke 21:27	11	μετὰ	meta	PREP	G3326	with
Luke 21:27	12	δυνάμεως	dunamewv	N-GSF	G1411	power
Luke 21:27	13	καὶ	kai	CONJ	G2532	and
Luke 21:27	14	δόξης	doxhv	N-GSF	G1391	glory
Luke 21:27	15	πολλῆς	pollhv	A-GSF	G4183	great
Luke 21:28	1	Ἀρχομένων	arcomenwn	V-PMP-GPN	G0756	begin
Luke 21:28	2	δὲ	de	CONJ	G1161	When
Luke 21:28	3	τούτων	toutwn	D-GPN	G3778	these things
Luke 21:28	4	γίνεσθαι	ginesqai	V-PNN	G1096	to happen
Luke 21:28	5	ἀνακύψατε	anakuyate	V-AAM-2P	G0352	stand up
Luke 21:28	6	καὶ	kai	CONJ	G2532	and
Luke 21:28	7	ἐπάρατε	eparate	V-AAM-2P	G1869	lift up
Luke 21:28	8	τὰς	tav	T-APF	G3588	-
Luke 21:28	9	κεφαλὰς	kefalav	N-APF	G2776	heads
Luke 21:28	10	ὑμῶν	umwn	P-2GP	G4771	your
Luke 21:28	11	διότι	dioti	CONJ	G1360	because
Luke 21:28	12	ἐγγίζει	eggizei	V-PAI-3S	G1448	is drawing near
Luke 21:28	13	ἡ	h	T-NSF	G3588	-
Luke 21:28	14	ἀπολύτρωσις	apolutrwsiv	N-NSF	G0629	redemption
Luke 21:28	15	ὑμῶν	umwn	P-2GP	G4771	your
Luke 21:29	1	Καὶ	kai	CONJ	G2532	Then
Luke 21:29	2	εἶπεν	eipen	V-2AAI-3S	G3004	[Jesus] told
Luke 21:29	3	παραβολὴν	parabolhn	N-ASF	G3850	a parable
Luke 21:29	4	αὐτοῖς	autoiv	P-DPM	G0846	them
Luke 21:29	5	Ἴδετε	idete	V-2AAM-2P	G3708	Look at
Luke 21:29	6	τὴν	thn	T-ASF	G3588	the
Luke 21:29	7	συκῆν	sukhn	N-ASF	G4808	fig tree
Luke 21:29	8	καὶ	kai	CONJ	G2532	and
Luke 21:29	9	πάντα	panta	A-APN	G3956	all
Luke 21:29	10	τὰ	ta	T-APN	G3588	the
Luke 21:29	11	δένδρα	dendra	N-APN	G1186	trees
Luke 21:30	1	ὅταν	otan	CONJ	G3752	When
Luke 21:30	2	προβάλωσιν	probalwsin	V-2AAS-3P	G4261	they sprout leaves
Luke 21:30	3	ἤδη	hdh	ADV	G2235	. . .
Luke 21:30	4	βλέποντες	blepontev	V-PAP-NPM	G0991	you can see
Luke 21:30	5	ἀφ'	af	PREP	G0575	for
Luke 21:30	6	ἑαυτῶν	eautwn	F-2GPM	G1438	yourselves
Luke 21:30	7	γινώσκετε	ginwskete	V-PAI-2P	G1097	[and] know
Luke 21:30	8	ὅτι	oti	CONJ	G3754	that
Luke 21:30	9	ἤδη	hdh	ADV	G2235	. . .
Luke 21:30	10	ἐγγὺς	egguv	ADV	G1451	near
Luke 21:30	11	τὸ	to	T-NSN	G3588	-
Luke 21:30	12	θέρος	qerov	N-NSN	G2330	summer
Luke 21:30	13	ἐστίν	estin	V-PAI-3S	G1510	is
Luke 21:31	1	Οὕτως	outwv	ADV	G3779	So
Luke 21:31	2	καὶ	kai	CONJ	G2532	also
Luke 21:31	3	ὑμεῖς	umeiv	P-2NP	G4771	-
Luke 21:31	4	ὅταν	otan	CONJ	G3752	when
Luke 21:31	5	ἴδητε	idhte	V-2AAS-2P	G3708	you see
Luke 21:31	6	ταῦτα	tauta	D-APN	G3778	these things
Luke 21:31	7	γινόμενα	ginomena	V-PNP-APN	G1096	happening
Luke 21:31	8	γινώσκετε	ginwskete	V-PAM-2P	G1097	know
Luke 21:31	9	ὅτι	oti	CONJ	G3754	that
Luke 21:31	10	ἐγγύς	egguv	ADV	G1451	near
Luke 21:31	11	ἐστιν	estin	V-PAI-3S	G1510	is
Luke 21:31	12	ἡ	h	T-NSF	G3588	the
Luke 21:31	13	βασιλεία	basileia	N-NSF	G0932	kingdom
Luke 21:31	14	τοῦ	tou	T-GSM	G3588	-
Luke 21:31	15	θεοῦ	qeou	N-GSM	G2316	of God
Luke 21:32	1	Ἀμὴν	amhn	HEB	G0281	Truly
Luke 21:32	2	λέγω	legw	V-PAI-1S	G3004	I tell
Luke 21:32	3	ὑμῖν	umin	P-2DP	G4771	you
Luke 21:32	4	ὅτι	oti	CONJ	G3754	-
Luke 21:32	5	οὐ	ou	PRT-N	G3756	vvv
Luke 21:32	6	μὴ	mh	PRT-N	G3361	vvv
Luke 21:32	7	παρέλθῃ	parelqh	V-2AAS-3S	G3928	will not pass away
Luke 21:32	8	ἡ	h	T-NSF	G3588	-
Luke 21:32	9	γενεὰ	genea	N-NSF	G1074	generation
Luke 21:32	10	αὕτη	auth	D-NSF	G3778	this
Luke 21:32	11	ἕως	ewv	ADV	G2193	until
Luke 21:32	12	ἂν	an	PRT	G0302	. . .
Luke 21:32	13	πάντα	panta	A-NPN	G3956	all [these things]
Luke 21:32	14	γένηται	genhtai	V-2ADS-3S	G1096	have happened
Luke 21:33	1	Ὁ	o	T-NSM	G3588	-
Luke 21:33	2	οὐρανὸς	ouranov	N-NSM	G3772	Heaven
Luke 21:33	3	καὶ	kai	CONJ	G2532	and
Luke 21:33	4	ἡ	h	T-NSF	G3588	-
Luke 21:33	5	γῆ	gh	N-NSF	G1093	earth
Luke 21:33	6	παρελεύσονται	pareleusontai	V-FDI-3P	G3928	will pass away
Luke 21:33	7	οἱ	oi	T-NPM	G3588	-
Luke 21:33	8	δὲ	de	CONJ	G1161	but
Luke 21:33	9	λόγοι	logoi	N-NPM	G3056	words
Luke 21:33	10	μου	mou	P-1GS	G1473	My
Luke 21:33	11	οὐ	ou	PRT-N	G3756	vvv
Luke 21:33	12	μὴ	mh	PRT-N	G3361	vvv
Luke 21:33	13	παρέλθωσιν	parelqwsin	V-2AAS-3P	G3928	will never pass away
Luke 21:34	1	Προσέχετε	prosecete	V-PAM-2P	G4337	watch
Luke 21:34	2	δὲ	de	CONJ	G1161	But
Luke 21:34	3	ἑαυτοῖς	eautoiv	F-2DPM	G1438	yourselves
Luke 21:34	4	μήποτε	mhpote	ADV-N	G3379	or
Luke 21:34	5	βαρηθῶσιν	barhqwsin	V-APS-3P	G0916	will be weighed down
Luke 21:34	6	ὑμῶν	umwn	P-2GP	G4771	your
Luke 21:34	7	αἱ	ai	T-NPF	G3588	. . .
Luke 21:34	8	καρδίαι	kardiai	N-NPF	G2588	hearts
Luke 21:34	9	ἐν	en	PREP	G1722	by
Luke 21:34	10	κραιπάλῃ	kraipalh	N-DSF	G2897	dissipation
Luke 21:34	11	καὶ	kai	CONJ	G2532	-
Luke 21:34	12	μέθῃ	meqh	N-DSF	G3178	drunkenness
Luke 21:34	13	καὶ	kai	CONJ	G2532	and
Luke 21:34	14	μερίμναις	merimnaiv	N-DPF	G3308	[the] worries
Luke 21:34	15	βιωτικαῖς	biwtikaiv	A-DPF	G0982	of life
Luke 21:34	16	καὶ	kai	CONJ	G2532	and
Luke 21:34	17	αἰφνίδιος	aifnidiov	A-NSF	G0160	suddenly
Luke 21:34	18	ἐφ'	ef	PREP	G1909	upon
Luke 21:34	19	ὑμᾶς	umav	P-2AP	G4771	you
Luke 21:34	20	ἐπιστῇ	episth	V-2AAS-3S	G2186	will spring
Luke 21:34	21	ἡ	h	T-NSF	G3588	-
Luke 21:34	22	ἡμέρα	hmera	N-NSF	G2250	day
Luke 21:34	23	ἐκείνη	ekeinh	D-NSF	G1565	that
Luke 21:34	24	ὡς	wv	ADV	G5613	like
Luke 21:34	25	παγὶς	pagiv	N-NSF	G3803	a snare
Luke 21:35	1	γὰρ	gar	CONJ	G1063	For
Luke 21:35	2	ἐπελεύσεται	epeleusetai	V-FDI-3S	G1904	it will come
Luke 21:35	3	ἐπὶ	epi	PREP	G1909	upon
Luke 21:35	4	πάντας	pantav	A-APM	G3956	all
Luke 21:35	5	τοὺς	touv	T-APM	G3588	who
Luke 21:35	6	καθημένους	kaqhmenouv	V-PNP-APM	G2521	dwell
Luke 21:35	7	ἐπὶ	epi	PREP	G1909	on
Luke 21:35	8	πρόσωπον	proswpon	N-ASN	G4383	the face
Luke 21:35	9	πάσης	pashv	A-GSF	G3956	of all
Luke 21:35	10	τῆς	thv	T-GSF	G3588	the
Luke 21:35	11	γῆς	ghv	N-GSF	G1093	earth
Luke 21:36	1	Ἀγρυπνεῖτε	agrupneite	V-PAM-2P	G0069	keep watch
Luke 21:36	2	οὖν	oun	CONJ	G3767	So
Luke 21:36	3	ἐν	en	PREP	G1722	at
Luke 21:36	4	παντὶ	panti	A-DSM	G3956	all
Luke 21:36	5	καιρῷ	kairw	N-DSM	G2540	times
Luke 21:36	6	δεόμενοι	deomenoi	V-PNP-NPM	G1189	[and] pray
Luke 21:36	7	ἵνα	ina	CONJ	G2443	that
Luke 21:36	8	καταξιωθῆτε	kataxiwqhte	V-APS-2P	G2661	you may be deemed worthy
Luke 21:36	9	ἐκφυγεῖν	ekfugein	V-2AAN	G1628	to escape
Luke 21:36	10	πάντα	panta	A-APN	G3956	all
Luke 21:36	11	τὰ	ta	T-APN	G3588	that
Luke 21:36	12	μέλλοντα	mellonta	V-PAP-APN	G3195	is about
Luke 21:36	13	γίνεσθαι	ginesqai	V-PNN	G1096	to happen
Luke 21:36	14	καὶ	kai	CONJ	G2532	and
Luke 21:36	15	σταθῆναι	staqhnai	V-APN	G2476	to stand
Luke 21:36	16	ἔμπροσθεν	emprosqen	PREP	G1715	before
Luke 21:36	17	τοῦ	tou	T-GSM	G3588	the
Luke 21:36	18	υἱοῦ	uiou	N-GSM	G5207	Son
Luke 21:36	19	τοῦ	tou	T-GSM	G3588	-
Luke 21:36	20	ἀνθρώπου	anqrwpou	N-GSM	G0444	of Man
Luke 21:37	1	Ἦν	hn	V-IAI-3S	G1510	[Jesus]
Luke 21:37	2	δὲ	de	CONJ	G1161	-
Luke 21:37	3	τὰς	tav	T-APF	G3588	[Every]
Luke 21:37	4	ἡμέρας	hmerav	N-APF	G2250	day
Luke 21:37	5	ἐν	en	PREP	G1722	at
Luke 21:37	6	τῷ	tw	T-DSN	G3588	the
Luke 21:37	7	ἱερῷ	ierw	N-DSN	G2411	temple
Luke 21:37	8	διδάσκων	didaskwn	V-PAP-NSM	G1321	taught
Luke 21:37	9	τὰς	tav	T-APF	G3588	[every]
Luke 21:37	10	δὲ	de	CONJ	G1161	but
Luke 21:37	11	νύκτας	nuktav	N-APF	G3571	evening
Luke 21:37	12	ἐξερχόμενος	exercomenov	V-PNP-NSM	G1831	He went out
Luke 21:37	13	ηὐλίζετο	hulizeto	V-INI-3S	G0835	to spend the night
Luke 21:37	14	εἰς	eiv	PREP	G1519	on
Luke 21:37	15	τὸ	to	T-ASN	G3588	the
Luke 21:37	16	ὄρος	orov	N-ASN	G3735	Mount
Luke 21:37	17	τὸ	to	T-ASN	G3588	-
Luke 21:37	18	καλούμενον	kaloumenon	V-PPP-ASN	G2564	of
Luke 21:37	19	Ἐλαιῶν	elaiwn	N-GPF	G1636	Olives
Luke 21:38	1	Καὶ	kai	CONJ	G2532	And
Luke 21:38	2	πᾶς	pav	A-NSM	G3956	all
Luke 21:38	3	ὁ	o	T-NSM	G3588	the
Luke 21:38	4	λαὸς	laov	N-NSM	G2992	people {would come}
Luke 21:38	5	ὤρθριζεν	wrqrizen	V-IAI-3S	G3719	early in the morning
Luke 21:38	6	πρὸς	prov	PREP	G4314	-
Luke 21:38	7	αὐτὸν	auton	P-ASM	G0846	-
Luke 21:38	8	ἐν	en	PREP	G1722	at
Luke 21:38	9	τῷ	tw	T-DSN	G3588	the
Luke 21:38	10	ἱερῷ	ierw	N-DSN	G2411	temple
Luke 21:38	11	ἀκούειν	akouein	V-PAN	G0191	to hear
Luke 21:38	12	αὐτοῦ	autou	P-GSM	G0846	Him
Luke 22:1	1	Ἤγγιζεν	hggizen	V-IAI-3S	G1448	was approaching
Luke 22:1	2	δὲ	de	CONJ	G1161	Now
Luke 22:1	3	ἡ	h	T-NSF	G3588	the
Luke 22:1	4	ἑορτὴ	eorth	N-NSF	G1859	Feast
Luke 22:1	5	τῶν	twn	T-GPN	G3588	of
Luke 22:1	6	ἀζύμων	azumwn	A-GPN	G0106	Unleavened [Bread]
Luke 22:1	7	ἡ	h	T-NSF	G3588	-
Luke 22:1	8	λεγομένη	legomenh	V-PPP-NSF	G3004	called
Luke 22:1	9	Πάσχα	pasca	ARAM	G3957	[the] Passover
Luke 22:2	1	Καὶ	kai	CONJ	G2532	and
Luke 22:2	2	ἐζήτουν	ezhtoun	V-IAI-3P	G2212	were looking
Luke 22:2	3	οἱ	oi	T-NPM	G3588	the
Luke 22:2	4	ἀρχιερεῖς	arciereiv	N-NPM	G0749	chief priests
Luke 22:2	5	καὶ	kai	CONJ	G2532	and
Luke 22:2	6	οἱ	oi	T-NPM	G3588	-
Luke 22:2	7	γραμματεῖς	grammateiv	N-NPM	G1122	scribes
Luke 22:2	8	τὸ	to	T-ASN	G3588	-
Luke 22:2	9	πῶς	pwv	ADV-I	G4459	for a way
Luke 22:2	10	ἀνέλωσιν	anelwsin	V-2AAS-3P	G0337	to put [Jesus] to death
Luke 22:2	11	αὐτόν	auton	P-ASM	G0846	. . .
Luke 22:2	12	ἐφοβοῦντο	efobounto	V-INI-3P	G5399	they feared
Luke 22:2	13	γὰρ	gar	CONJ	G1063	for
Luke 22:2	14	τὸν	ton	T-ASM	G3588	the
Luke 22:2	15	λαόν	laon	N-ASM	G2992	people
Luke 22:3	1	Εἰσῆλθεν	eishlqen	V-2AAI-3S	G1525	entered
Luke 22:3	2	δὲ	de	CONJ	G1161	Then
Luke 22:3	3	Σατανᾶς	satanav	N-NSM	G4567	Satan
Luke 22:3	4	εἰς	eiv	PREP	G1519	. . .
Luke 22:3	5	Ἰούδαν	ioudan	N-ASM	G2455	Judas
Luke 22:3	6	τὸν	ton	T-ASM	G3588	-
Luke 22:3	7	ἐπικαλούμενον	epikaloumenon	V-PPP-ASM	G1941	-
Luke 22:3	8	Ἰσκαριώτην	iskariwthn	N-ASM	G2469	Iscariot
Luke 22:3	9	ὄντα	onta	V-PAP-ASM	G1510	who was
Luke 22:3	10	ἐκ	ek	PREP	G1537	of
Luke 22:3	11	τοῦ	tou	T-GSM	G3588	the
Luke 22:3	12	ἀριθμοῦ	ariqmou	N-GSM	G0706	[one]
Luke 22:3	13	τῶν	twn	T-GPM	G3588	-
Luke 22:3	14	δώδεκα	dwdeka	A-NUI	G1427	Twelve
Luke 22:4	1	Καὶ	kai	CONJ	G2532	And
Luke 22:4	2	ἀπελθὼν	apelqwn	V-2AAP-NSM	G0565	[Judas] went
Luke 22:4	3	συνελάλησεν	sunelalhsen	V-AAI-3S	G4814	to discuss with
Luke 22:4	4	τοῖς	toiv	T-DPM	G3588	the
Luke 22:4	5	ἀρχιερεῦσιν	arciereusin	N-DPM	G0749	chief priests
Luke 22:4	6	καὶ	kai	CONJ	G2532	and
Luke 22:4	7	στρατηγοῖς	strathgoiv	N-DPM	G4755	[temple] officers
Luke 22:4	8	τὸ	to	T-ASN	G3588	-
Luke 22:4	9	πῶς	pwv	ADV-I	G4459	how
Luke 22:4	10	αὐτὸν	auton	P-ASM	G0846	to them
Luke 22:4	11	παραδῷ	paradw	V-2AAS-3S	G3860	he might betray
Luke 22:4	12	αὐτοῖς	autoiv	P-DPM	G0846	[Jesus]
Luke 22:5	1	Καὶ	kai	CONJ	G2532	-
Luke 22:5	2	ἐχάρησαν	ecarhsan	V-2AOI-3P	G5463	They were delighted
Luke 22:5	3	καὶ	kai	CONJ	G2532	and
Luke 22:5	4	συνέθεντο	suneqento	V-2AMI-3P	G4934	agreed
Luke 22:5	5	αὐτῷ	autw	P-DSM	G0846	him
Luke 22:5	6	ἀργύριον	argurion	N-ASN	G0694	money
Luke 22:5	7	δοῦναι	dounai	V-2AAN	G1325	to give
Luke 22:6	1	Καὶ	kai	CONJ	G2532	-
Luke 22:6	2	ἐξωμολόγησεν	exwmologhsen	V-AAI-3S	G1843	[Judas] consented
Luke 22:6	3	καὶ	kai	CONJ	G2532	and
Luke 22:6	4	ἐζήτει	ezhtei	V-IAI-3S	G2212	began to look for
Luke 22:6	5	εὐκαιρίαν	eukairian	N-ASF	G2120	[an] opportunity
Luke 22:6	6	τοῦ	tou	T-GSN	G3588	-
Luke 22:6	7	παραδοῦναι	paradounai	V-2AAN	G3860	to betray
Luke 22:6	8	αὐτὸν	auton	P-ASM	G0846	[Jesus]
Luke 22:6	9	αὐτοῖς	autoiv	P-DPM	G0846	to them
Luke 22:6	10	ἄτερ	ater	PREP	G0817	in the absence of
Luke 22:6	11	ὄχλου	oclou	N-GSM	G3793	[a] crowd
Luke 22:7	1	Ἦλθεν	hlqen	V-2AAI-3S	G2064	came
Luke 22:7	2	δὲ	de	CONJ	G1161	Then
Luke 22:7	3	ἡ	h	T-NSF	G3588	the
Luke 22:7	4	ἡμέρα	hmera	N-NSF	G2250	day
Luke 22:7	5	τῶν	twn	T-GPN	G3588	of
Luke 22:7	6	ἀζύμων	azumwn	A-GPN	G0106	Unleavened [Bread]
Luke 22:7	7	ἐν	en	PREP	G1722	on
Luke 22:7	8	ᾗ	h	R-DSF	G3739	which
Luke 22:7	9	ἔδει	edei	V-IAI-3S	G1163	was to
Luke 22:7	10	θύεσθαι	quesqai	V-PPN	G2380	be sacrificed
Luke 22:7	11	τὸ	to	T-ASN	G3588	the
Luke 22:7	12	Πάσχα	pasca	ARAM	G3957	Passover lamb
Luke 22:8	1	Καὶ	kai	CONJ	G2532	-
Luke 22:8	2	ἀπέστειλεν	apesteilen	V-AAI-3S	G0649	[Jesus] sent
Luke 22:8	3	Πέτρον	petron	N-ASM	G4074	Peter
Luke 22:8	4	καὶ	kai	CONJ	G2532	and
